click_id,result_id,search_id,user_id,click_date
C000339,R0006079,S005275,U0287,2026-04-01
C000340,R0003677,S003176,U0424,2026-03-26
C000341,R0006494,S005613,U0282,2026-04-25
C000342,R0000407,S000369,U0194,2026-05-19
C000343,R0004952,S004293,U0092,2026-03-28
C000344,R0004937,S004275,U0372,2026-07-11
C000345,R0002952,S002576,U0250,2026-02-08
C000346,R0001777,S001537,U0494,2026-05-17
C000347,R0003809,S003288,U0058,2026-06-13
C000348,R0001018,S000880,U0321,2026-06-14
C000349,R0005057,S004374,U0165,2026-06-13
C000350,R0005048,S004369,U0448,2026-08-22
C000351,R0000041,S000036,U0072,2026-05-04
C000352,R0001146,S001001,U0387,2026-08-24
C000353,R0001799,S001555,U0184,2026-06-06
C000354,R0004219,S003630,U0496,2026-02-26
C000355,R0004576,S003929,U0136,2026-02-07
C000356,R0000289,S000259,U0309,2026-05-25
C000357,R0006027,S005237,U0387,2026-05-15
C000358,R0006166,S005345,U0053,2026-08-08
C000359,R0002246,S001962,U0198,2026-03-21
C000360,R0002899,S002531,U0132,2026-08-26
C000361,R0001289,S001116,U0430,2026-03-15
C000362,R0001950,S001706,U0357,2026-03-06
C000363,R0002283,S001992,U0437,2026-06-23
C000364,R0001013,S000879,U0043,2026-06-08
C000365,R0003697,S003191,U0183,2026-01-15
C000366,R0000319,S000283,U0286,2026-05-04
C000367,R0006372,S005506,U0442,2026-06-29
C000368,R0003765,S003244,U0128,2026-03-13
C000369,R0005439,S004731,U0027,2026-04-07
C000370,R0005960,S005169,U0365,2026-02-24
C000371,R0002689,S002339,U0473,2026-05-16
C000372,R0000092,S000076,U0233,2026-01-10
C000373,R0006143,S005325,U0138,2026-03-10
C000374,R0002198,S001921,U0010,2026-03-29
C000375,R0006801,S005904,U0090,2026-06-06
C000376,R0006016,S005225,U0309,2026-08-27
C000377,R0000432,S000386,U0368,2026-05-26
C000378,R0000082,S000066,U0106,2026-08-21
C000379,R0005852,S005077,U0447,2026-02-22
C000380,R0005213,S004518,U0492,2026-01-18
C000381,R0005405,S004699,U0447,2026-08-05
C000382,R0003364,S002913,U0418,2026-03-28
C000383,R0000431,S000385,U0419,2026-01-17
C000384,R0001726,S001487,U0348,2026-07-09
C000385,R0000030,S000026,U0299,2026-02-16
C000386,R0003299,S002858,U0173,2026-01-02
C000387,R0002483,S002166,U0054,2026-04-22
C000388,R0006185,S005358,U0024,2026-04-03
C000389,R0006575,S005686,U0024,2026-08-04
C000390,R0005816,S005034,U0436,2026-04-06
C000391,R0003856,S003326,U0153,2026-05-19
C000392,R0000598,S000519,U0266,2026-08-02
C000393,R0004441,S003829,U0072,2026-06-06
C000394,R0001806,S001565,U0347,2026-02-19
C000395,R0000473,S000413,U0225,2026-04-05
C000396,R0005800,S005025,U0285,2026-04-19
C000397,R0006483,S005607,U0123,2026-01-31
C000398,R0002638,S002295,U0099,2026-02-06
C000399,R0006219,S005386,U0044,2026-04-19
C000400,R0001677,S001444,U0230,2026-06-23
C000401,R0005775,S005004,U0335,2026-05-11
C000402,R0005949,S005158,U0306,2026-08-12
C000403,R0002537,S002215,U0357,2026-07-10
C000404,R0006870,S005967,U0046,2026-06-21
C000405,R0006351,S005492,U0077,2026-07-05
C000406,R0000996,S000866,U0197,2026-07-29
C000407,R0005779,S005006,U0217,2026-06-22
C000408,R0000877,S000774,U0465,2026-05-17
C000409,R0002562,S002231,U0112,2026-05-29
C000410,R0000787,S000687,U0496,2026-08-06
C000411,R0006431,S005556,U0129,2026-08-26
C000412,R0005051,S004371,U0294,2026-03-18
C000413,R0006449,S005574,U0331,2026-02-07
C000414,R0001041,S000905,U0263,2026-07-13
C000415,R0004029,S003471,U0108,2026-05-14
C000416,R0000964,S000845,U0090,2026-03-14
C000417,R0005095,S004405,U0269,2026-08-22
C000418,R0000189,S000167,U0339,2026-07-27
C000419,R0000630,S000557,U0307,2026-07-30
C000420,R0002563,S002232,U0413,2026-03-06
C000421,R0003316,S002874,U0236,2026-02-21
C000422,R0002098,S001832,U0076,2026-07-01
C000423,R0003372,S002921,U0281,2026-06-17
C000424,R0006400,S005531,U0086,2026-05-12
C000425,R0000868,S000764,U0071,2026-08-14
C000426,R0000167,S000145,U0013,2026-04-03
C000427,R0003118,S002728,U0495,2026-07-22
C000428,R0000694,S000614,U0060,2026-08-28
C000429,R0003110,S002722,U0391,2026-06-11
C000430,R0000051,S000041,U0472,2026-07-24
C000431,R0005482,S004768,U0211,2026-06-29
C000432,R0000295,S000266,U0122,2026-03-20
C000433,R0003919,S003380,U0254,2026-01-01
C000434,R0000520,S000451,U0390,2026-04-14
C000435,R0005203,S004504,U0290,2026-07-20
C000436,R0004233,S003640,U0359,2026-03-13
C000437,R0006262,S005429,U0119,2026-04-09
C000438,R0001182,S001028,U0078,2026-08-09
C000439,R0003414,S002966,U0407,2026-03-20
C000440,R0003991,S003437,U0470,2026-02-25
C000441,R0002617,S002277,U0215,2026-06-11
C000442,R0003020,S002638,U0026,2026-01-31
C000443,R0002780,S002412,U0386,2026-05-16
C000444,R0000144,S000128,U0245,2026-04-14
C000445,R0000185,S000162,U0446,2026-01-13
C000446,R0000871,S000768,U0401,2026-04-11
C000447,R0001994,S001737,U0492,2026-02-09
C000448,R0006255,S005419,U0112,2026-04-01
C000449,R0004101,S003528,U0360,2026-01-02
C000450,R0005296,S004593,U0360,2026-08-13
C000451,R0004062,S003494,U0157,2026-01-10
C000452,R0004916,S004256,U0353,2026-08-16
C000453,R0003956,S003412,U0090,2026-02-03
C000454,R0000728,S000646,U0399,2026-06-10
C000455,R0000267,S000241,U0497,2026-08-28
C000456,R0005825,S005039,U0129,2026-03-31
C000457,R0006435,S005560,U0497,2026-05-04
C000458,R0004122,S003550,U0239,2026-03-20
C000459,R0004987,S004314,U0239,2026-07-07
C000460,R0006609,S005715,U0280,2026-08-25
C000461,R0005853,S005079,U0315,2026-06-05
C000462,R0002644,S002298,U0161,2026-08-17
C000463,R0005544,S004813,U0161,2026-08-02
C000464,R0001851,S001607,U0377,2026-06-15
C000465,R0003591,S003107,U0013,2026-05-25
C000466,R0002359,S002056,U0211,2026-02-19
C000467,R0001142,S000996,U0217,2026-05-09
C000468,R0001445,S001247,U0452,2026-04-24
C000469,R0004597,S003946,U0307,2026-05-31
C000470,R0000705,S000624,U0184,2026-08-11
C000471,R0000887,S000782,U0262,2026-07-05
C000472,R0002320,S002023,U0173,2026-08-06
C000473,R0005480,S004766,U0293,2026-08-11
C000474,R0004091,S003516,U0004,2026-08-14
C000475,R0002539,S002217,U0233,2026-06-19
C000476,R0002863,S002500,U0080,2026-07-26
C000477,R0001756,S001515,U0062,2026-06-22
C000478,R0001748,S001507,U0018,2026-05-02
C000479,R0003827,S003303,U0186,2026-08-27
C000480,R0005079,S004395,U0232,2026-03-30
C000481,R0003527,S003052,U0388,2026-04-09
C000482,R0003509,S003037,U0168,2026-04-07
C000483,R0002641,S002296,U0431,2026-04-17
C000484,R0000896,S000789,U0201,2026-05-10
C000485,R0002708,S002355,U0215,2026-08-13
C000486,R0003819,S003297,U0399,2026-06-26
C000487,R0000862,S000756,U0046,2026-04-19
C000488,R0003431,S002978,U0185,2026-01-16
C000489,R0005024,S004354,U0299,2026-07-12
C000490,R0004224,S003634,U0373,2026-08-04
C000491,R0002771,S002406,U0010,2026-07-27
C000492,R0004735,S004077,U0248,2026-08-18
C000493,R0000512,S000444,U0386,2026-01-21
C000494,R0004599,S003947,U0116,2026-02-05
C000495,R0003406,S002954,U0455,2026-07-24
C000496,R0004266,S003675,U0390,2026-01-20
C000497,R0004262,S003673,U0391,2026-01-10
C000498,R0000048,S000039,U0231,2026-01-29
C000499,R0000182,S000159,U0474,2026-07-05
C000500,R0005749,S004981,U0419,2026-06-13
C000501,R0000968,S000847,U0472,2026-04-14
C000502,R0004834,S004174,U0224,2026-04-29
C000503,R0005560,S004822,U0223,2026-08-28
C000504,R0001345,S001156,U0046,2026-02-22
C000505,R0002540,S002217,U0233,2026-06-19
C000506,R0001221,S001064,U0299,2026-04-21
C000507,R0001412,S001216,U0133,2026-01-02
C000508,R0002774,S002407,U0289,2026-04-11
C000509,R0005578,S004839,U0189,2026-02-08
C000510,R0004321,S003727,U0395,2026-01-05
C000511,R0006359,S005496,U0359,2026-01-06
C000512,R0003659,S003158,U0347,2026-04-28
C000513,R0004948,S004290,U0216,2026-02-15
C000514,R0004699,S004044,U0215,2026-01-08
C000515,R0000661,S000590,U0369,2026-07-07
C000516,R0005441,S004733,U0131,2026-01-30
C000517,R0003996,S003442,U0144,2026-01-26
C000518,R0005039,S004363,U0349,2026-05-26
C000519,R0005484,S004770,U0490,2026-05-03
C000520,R0003701,S003192,U0085,2026-03-24
C000521,R0005238,S004539,U0426,2026-01-09
C000522,R0006408,S005538,U0146,2026-03-16
C000523,R0004179,S003593,U0342,2026-07-05
C000524,R0000955,S000838,U0320,2026-05-31
C000525,R0001622,S001401,U0297,2026-02-09
C000526,R0000447,S000396,U0231,2026-07-24
C000527,R0006864,S005959,U0306,2026-04-10
C000528,R0004888,S004232,U0354,2026-01-09
C000529,R0005903,S005118,U0102,2026-04-18
C000530,R0002821,S002456,U0365,2026-04-22
C000531,R0002768,S002405,U0085,2026-02-03
C000532,R0002087,S001824,U0435,2026-08-18
C000533,R0001789,S001548,U0320,2026-06-24
C000534,R0002116,S001848,U0405,2026-06-25
C000535,R0005496,S004776,U0299,2026-07-06
C000536,R0006681,S005795,U0310,2026-03-07
C000537,R0002805,S002429,U0237,2026-08-03
C000538,R0000931,S000817,U0310,2026-03-19
C000539,R0005734,S004968,U0355,2026-03-29
C000540,R0002212,S001933,U0334,2026-05-31
C000541,R0001834,S001593,U0010,2026-01-05
C000542,R0000917,S000807,U0193,2026-03-13
C000543,R0001125,S000982,U0194,2026-08-18
C000544,R0001304,S001123,U0429,2026-02-02
C000545,R0002835,S002469,U0393,2026-06-04
C000546,R0003842,S003313,U0161,2026-02-09
C000547,R0005513,S004788,U0329,2026-05-30
C000548,R0006399,S005529,U0231,2026-08-21
C000549,R0002193,S001917,U0065,2026-02-08
C000550,R0003634,S003134,U0353,2026-07-05
C000551,R0002435,S002121,U0375,2026-07-31
C000552,R0002398,S002095,U0439,2026-07-06
C000553,R0004367,S003768,U0219,2026-01-14
C000554,R0004896,S004240,U0138,2026-08-05
C000555,R0002984,S002601,U0471,2026-05-13
C000556,R0002970,S002591,U0380,2026-04-28
C000557,R0002059,S001803,U0453,2026-01-03
C000558,R0000343,S000302,U0094,2026-07-23
C000559,R0000296,S000267,U0444,2026-08-11
C000560,R0000013,S000012,U0008,2026-01-03
C000561,R0004550,S003910,U0133,2026-01-26
C000562,R0006424,S005552,U0321,2026-02-09
C000563,R0006537,S005659,U0125,2026-02-27
C000564,R0000010,S000006,U0146,2026-07-19
C000565,R0002038,S001784,U0031,2026-03-09
C000566,R0003641,S003142,U0381,2026-05-26
C000567,R0003174,S002770,U0243,2026-06-26
C000568,R0006800,S005903,U0340,2026-02-02
C000569,R0006220,S005388,U0236,2026-03-28
C000570,R0004014,S003455,U0287,2026-07-26
C000571,R0002866,S002501,U0134,2026-01-08
C000572,R0003081,S002689,U0042,2026-07-08
C000573,R0002233,S001948,U0158,2026-02-19
C000574,R0005305,S004604,U0262,2026-04-25
C000575,R0001385,S001188,U0318,2026-04-01
C000576,R0000027,S000023,U0115,2026-08-04
C000577,R0000897,S000789,U0201,2026-05-10
C000578,R0002076,S001815,U0485,2026-07-06
C000579,R0002151,S001877,U0149,2026-08-25
C000580,R0001091,S000951,U0339,2026-04-16
C000581,R0004185,S003598,U0254,2026-08-27
