result_id,search_id,airline,loyalty_program,cabin,miles_required,taxes_inr,cash_ticket_price_inr,availability
R0000049,S000040,Singapore Airlines,KrisFlyer,First,200896,7373,411819,Available
R0000050,S000040,Etihad Airways,Etihad Guest,First,194321,8409,409511,Available
R0000051,S000041,Air India,Flying Returns,Economy,32400,4637,100258,Available
R0000052,S000042,Air India,Flying Returns,First,169376,4724,324881,Available
R0000053,S000042,Qatar Airways,Privilege Club,First,192016,7858,561344,Available
R0000054,S000043,Singapore Airlines,KrisFlyer,Economy,33933,8931,92688,Available
R0000055,S000043,Emirates,Skywards,Economy,35114,14389,85643,Available
R0000056,S000044,Singapore Airlines,KrisFlyer,Economy,47077,4917,134849,Available
R0000057,S000044,Qatar Airways,Privilege Club,Economy,32011,10209,93433,Available
R0000058,S000046,Air India,Flying Returns,Business,83836,14768,278105,Available
R0000059,S000047,Singapore Airlines,KrisFlyer,Economy,50644,15395,140641,Available
R0000060,S000047,United Airlines,MileagePlus,Economy,59341,8472,178755,Available
R0000061,S000049,United Airlines,MileagePlus,Economy,29226,12388,86884,Available
R0000062,S000050,Singapore Airlines,KrisFlyer,First,211036,5497,525575,Available
R0000063,S000050,Air Canada,Aeroplan,First,166827,15428,375504,Available
R0000064,S000051,Qatar Airways,Privilege Club,Economy,63513,8316,139949,Available
R0000065,S000051,Etihad Airways,Etihad Guest,Economy,31572,4558,103771,Available
R0000066,S000052,United Airlines,MileagePlus,Business,128569,9534,285488,Available
R0000067,S000052,Emirates,Skywards,Business,92232,4701,298152,Available
R0000068,S000053,Qatar Airways,Privilege Club,Economy,39563,4140,89444,Available
R0000069,S000053,Etihad Airways,Etihad Guest,Economy,28747,6219,73162,Available
R0000070,S000055,Qatar Airways,Privilege Club,Business,102297,15384,296450,Available
R0000071,S000056,Emirates,Skywards,Economy,37569,11632,106840,Available
R0000072,S000058,Air India,Flying Returns,Economy,46450,12621,120098,Available
R0000073,S000060,Air India,Flying Returns,Business,129146,10971,276612,Available
R0000074,S000062,Etihad Airways,Etihad Guest,Economy,53037,7635,148549,Available
R0000075,S000062,Air Canada,Aeroplan,Economy,50156,17987,129441,Available
R0000076,S000063,Singapore Airlines,KrisFlyer,Economy,47307,15157,101385,Available
R0000077,S000064,Air Canada,Aeroplan,Business,90617,6328,195627,Available
R0000078,S000064,Singapore Airlines,KrisFlyer,Business,70250,3568,140675,Available
R0000079,S000064,Emirates,Skywards,Business,66251,6625,132639,Available
R0000080,S000065,Lufthansa,Miles & More,Economy,54893,10532,169959,Available
R0000081,S000066,Singapore Airlines,KrisFlyer,Business,75783,7071,164262,Available
R0000082,S000066,Qatar Airways,Privilege Club,Business,63759,15761,205635,Available
R0000083,S000067,Singapore Airlines,KrisFlyer,Business,123467,16704,347722,Available
R0000084,S000067,Qatar Airways,Privilege Club,Business,99361,12086,183418,Available
R0000085,S000069,Lufthansa,Miles & More,First,139838,17832,302723,Available
R0000086,S000070,Air India,Flying Returns,Business,116941,7403,354423,Available
R0000087,S000071,Air Canada,Aeroplan,Business,65685,10147,190473,Available
R0000088,S000073,Lufthansa,Miles & More,Economy,30925,6818,72599,Available
R0000089,S000074,Air India,Flying Returns,Business,62728,5091,119188,Available
R0000090,S000076,Singapore Airlines,KrisFlyer,Business,140775,10790,354201,Available
R0000091,S000076,Etihad Airways,Etihad Guest,Business,86085,8818,268577,Available
R0000092,S000076,Emirates,Skywards,Business,123493,7534,369039,Available
R0000093,S000077,Qatar Airways,Privilege Club,Economy,59556,5452,192172,Available
R0000094,S000077,Air India,Flying Returns,Economy,37915,6920,124475,Available
R0000095,S000078,Air India,Flying Returns,Economy,60540,16599,190553,Available
R0000096,S000079,Singapore Airlines,KrisFlyer,Business,68770,4636,130262,Available
R0000097,S000079,Emirates,Skywards,Business,70466,13913,165034,Available
R0000098,S000080,Etihad Airways,Etihad Guest,Business,90166,5823,232704,Available
R0000099,S000080,Emirates,Skywards,Business,100684,3531,290928,Available
R0000100,S000083,Lufthansa,Miles & More,Economy,47362,17816,115255,Available
R0000101,S000083,Air Canada,Aeroplan,Economy,42854,17174,90855,Available
R0000102,S000084,United Airlines,MileagePlus,First,168650,14834,370529,Available
R0000103,S000085,Singapore Airlines,KrisFlyer,Business,140997,17877,308368,Available
R0000104,S000085,Air Canada,Aeroplan,Business,61383,17583,163973,Available
R0000105,S000087,United Airlines,MileagePlus,Economy,27367,8365,91894,Available
R0000106,S000088,Emirates,Skywards,First,111915,10712,336708,Available
R0000107,S000088,United Airlines,MileagePlus,First,114819,11379,230951,Available
R0000108,S000092,Air Canada,Aeroplan,Economy,33911,17912,103334,Available
R0000109,S000092,Singapore Airlines,KrisFlyer,Economy,31825,5346,85144,Available
R0000110,S000094,Qatar Airways,Privilege Club,Business,85117,10222,273725,Available
R0000111,S000094,Air India,Flying Returns,Business,101770,8007,208663,Available
R0000112,S000099,United Airlines,MileagePlus,Economy,59535,5574,148911,Available
R0000113,S000099,Lufthansa,Miles & More,Economy,58845,8099,107286,Available
R0000114,S000100,Air Canada,Aeroplan,Economy,52177,6923,120249,Available
R0000115,S000101,Lufthansa,Miles & More,Economy,63617,14194,121113,Available
R0000116,S000101,United Airlines,MileagePlus,Economy,41179,5759,127574,Available
R0000117,S000101,Air Canada,Aeroplan,Economy,31276,13224,110491,Available
R0000118,S000103,Air India,Flying Returns,Business,111703,15591,326215,Available
R0000119,S000104,Air Canada,Aeroplan,Business,60743,10856,160688,Available
R0000120,S000104,Emirates,Skywards,Business,139102,4568,448685,Available
R0000121,S000105,Emirates,Skywards,Business,77889,14452,239654,Available
R0000122,S000106,Lufthansa,Miles & More,Business,73429,11047,204598,Available
R0000123,S000107,Lufthansa,Miles & More,Business,98565,4102,193715,Available
R0000124,S000107,Etihad Airways,Etihad Guest,Business,101264,10446,294383,Available
R0000125,S000110,Lufthansa,Miles & More,First,211510,16784,626851,Available
R0000126,S000111,Lufthansa,Miles & More,Economy,42523,8990,90086,Available
R0000127,S000111,Qatar Airways,Privilege Club,Economy,60263,6785,168610,Available
R0000128,S000112,Lufthansa,Miles & More,Economy,28849,9930,75917,Available
R0000129,S000112,Etihad Airways,Etihad Guest,Economy,29616,11680,91827,Available
R0000130,S000114,Etihad Airways,Etihad Guest,First,177949,7887,510767,Available
R0000131,S000114,Air Canada,Aeroplan,First,125748,3656,245403,Available
R0000132,S000115,Singapore Airlines,KrisFlyer,First,182519,8610,444864,Available
R0000133,S000115,Air India,Flying Returns,First,112397,13886,286219,Available
R0000134,S000115,Air Canada,Aeroplan,First,191721,15317,354475,Available
R0000135,S000116,Emirates,Skywards,Business,122926,8486,346992,Available
R0000136,S000120,Air Canada,Aeroplan,Business,105066,17450,238328,Available
R0000137,S000121,Qatar Airways,Privilege Club,First,197004,12994,628212,Available
R0000138,S000121,Lufthansa,Miles & More,First,146382,16639,376123,Available
R0000139,S000126,Air India,Flying Returns,First,129311,4357,354787,Available
R0000140,S000127,Lufthansa,Miles & More,Economy,60757,7330,108929,Available
R0000141,S000127,United Airlines,MileagePlus,Economy,51082,10350,98348,Available
R0000142,S000128,Air India,Flying Returns,First,145523,17923,457591,Available
R0000143,S000128,Etihad Airways,Etihad Guest,First,122287,16338,400462,Available
R0000144,S000128,Singapore Airlines,KrisFlyer,First,212916,9607,451862,Available
R0000145,S000129,Air India,Flying Returns,Economy,30025,11264,102261,Available
R0000146,S000129,United Airlines,MileagePlus,Economy,54526,9487,125283,Available
R0000147,S000130,Qatar Airways,Privilege Club,Business,149086,13731,411816,Available
R0000148,S000130,Singapore Airlines,KrisFlyer,Business,94078,16323,226672,Available
R0000149,S000130,Air Canada,Aeroplan,Business,144063,17308,394421,Available
R0000150,S000131,Qatar Airways,Privilege Club,Economy,40317,16297,116379,Available
R0000151,S000132,Lufthansa,Miles & More,Business,75400,16328,183314,Available
R0000152,S000132,Air India,Flying Returns,Business,94111,4069,305195,Available
R0000153,S000133,Lufthansa,Miles & More,Economy,28392,6117,75261,Available
R0000154,S000133,Emirates,Skywards,Economy,62123,5513,177331,Available
R0000155,S000134,Lufthansa,Miles & More,First,196628,17229,525867,Available
R0000156,S000134,Air India,Flying Returns,First,133407,8152,361836,Available
R0000157,S000135,Air India,Flying Returns,Business,64123,6730,123159,Available
R0000158,S000136,United Airlines,MileagePlus,Economy,47430,12129,136952,Available
R0000159,S000137,Etihad Airways,Etihad Guest,Business,128384,14609,245681,Available
R0000160,S000137,Air India,Flying Returns,Business,118192,6054,285205,Available
R0000161,S000138,Etihad Airways,Etihad Guest,Economy,59005,4980,123955,Available
R0000162,S000138,United Airlines,MileagePlus,Economy,43394,10397,129027,Available
R0000163,S000140,Air Canada,Aeroplan,Economy,36688,4318,91108,Available
R0000164,S000141,Air India,Flying Returns,Business,128438,16869,290901,Available
R0000165,S000142,United Airlines,MileagePlus,Economy,50838,11247,168236,Available
R0000166,S000144,Air Canada,Aeroplan,First,201659,15590,607136,Available
R0000167,S000145,Emirates,Skywards,Business,116533,14069,262612,Available
R0000168,S000145,Air Canada,Aeroplan,Business,61198,13159,191348,Available
R0000169,S000145,Air India,Flying Returns,Business,138566,11686,354955,Available
R0000170,S000148,Air India,Flying Returns,Business,89671,8230,244650,Available
R0000171,S000150,Air India,Flying Returns,Business,125311,13960,396598,Available
R0000172,S000150,Etihad Airways,Etihad Guest,Business,90842,14446,261146,Available
R0000173,S000152,Air Canada,Aeroplan,Business,120363,17711,304930,Available
R0000174,S000152,Emirates,Skywards,Business,137781,13866,437831,Available
R0000175,S000155,Air India,Flying Returns,Economy,44752,15385,157262,Available
R0000176,S000155,United Airlines,MileagePlus,Economy,54140,8755,174811,Available
R0000177,S000156,Air Canada,Aeroplan,Business,89590,4403,187929,Available
R0000178,S000156,Singapore Airlines,KrisFlyer,Business,68685,9705,188220,Available
R0000179,S000156,United Airlines,MileagePlus,Business,79067,7675,257171,Available
R0000180,S000157,Emirates,Skywards,Economy,38499,9662,119535,Available
R0000181,S000158,Air Canada,Aeroplan,Economy,29748,15570,88016,Available
R0000182,S000159,United Airlines,MileagePlus,Economy,27879,5688,76045,Available
R0000183,S000160,Etihad Airways,Etihad Guest,Business,127855,17583,260286,Available
R0000184,S000161,Lufthansa,Miles & More,Economy,31063,13890,70675,Available
R0000185,S000162,Air India,Flying Returns,Economy,29123,14792,99459,Available
R0000186,S000162,Air Canada,Aeroplan,Economy,53883,8283,163600,Available
R0000187,S000164,Singapore Airlines,KrisFlyer,Business,66381,10244,207888,Available
R0000188,S000164,Qatar Airways,Privilege Club,Business,66834,15655,216187,Available
R0000189,S000167,Singapore Airlines,KrisFlyer,Economy,62993,13152,142479,Available
R0000190,S000168,Emirates,Skywards,Economy,50547,14082,155613,Available
R0000191,S000170,United Airlines,MileagePlus,First,134242,15043,230481,Available
R0000192,S000172,Air India,Flying Returns,Economy,53980,17460,183346,Available
R0000193,S000172,Singapore Airlines,KrisFlyer,Economy,61512,7121,201807,Available
R0000194,S000172,Emirates,Skywards,Economy,28907,7228,76903,Available
R0000195,S000174,United Airlines,MileagePlus,Business,144580,5190,438684,Available
R0000196,S000174,Qatar Airways,Privilege Club,Business,94644,12653,227966,Available
R0000197,S000175,Qatar Airways,Privilege Club,Economy,42791,3707,126432,Available
R0000198,S000175,Air Canada,Aeroplan,Economy,34944,12187,77285,Available
R0000199,S000176,Air India,Flying Returns,Business,146585,5694,426552,Available
R0000200,S000178,Air India,Flying Returns,Economy,42103,5487,120460,Available
R0000201,S000178,United Airlines,MileagePlus,Economy,60646,12325,148847,Available
R0000202,S000179,Air Canada,Aeroplan,Economy,52740,10272,170355,Available
R0000203,S000180,Air India,Flying Returns,Business,145511,15268,278778,Available
R0000204,S000180,Air Canada,Aeroplan,Business,107872,5914,252793,Available
R0000205,S000181,Air Canada,Aeroplan,Business,84988,13229,178662,Available
R0000206,S000182,United Airlines,MileagePlus,Economy,50847,9731,166010,Available
R0000207,S000185,Singapore Airlines,KrisFlyer,Business,140423,10447,360860,Available
R0000208,S000185,Air Canada,Aeroplan,Business,123168,8317,288484,Available
R0000209,S000188,United Airlines,MileagePlus,Business,69838,11391,174613,Available
R0000210,S000188,Singapore Airlines,KrisFlyer,Business,73449,14529,140487,Available
R0000211,S000191,Etihad Airways,Etihad Guest,Business,60360,17823,187168,Available
R0000212,S000191,Singapore Airlines,KrisFlyer,Business,63464,5726,156856,Available
R0000213,S000193,Singapore Airlines,KrisFlyer,Business,83480,11333,155853,Available
R0000214,S000193,Air India,Flying Returns,Business,147875,8219,320346,Available
R0000215,S000193,Lufthansa,Miles & More,Business,64958,9765,144296,Available
R0000216,S000194,Etihad Airways,Etihad Guest,Economy,58857,12174,136995,Available
R0000217,S000195,Air Canada,Aeroplan,Business,146210,10601,369716,Available
R0000218,S000195,United Airlines,MileagePlus,Business,133978,12785,394418,Available
R0000219,S000198,Lufthansa,Miles & More,Economy,45084,9135,112842,Available
R0000220,S000198,United Airlines,MileagePlus,Economy,50381,16695,111089,Available
R0000221,S000200,Emirates,Skywards,Economy,56298,10663,135727,Available
R0000222,S000201,Air Canada,Aeroplan,Economy,40984,16350,90445,Available
R0000223,S000202,Etihad Airways,Etihad Guest,Business,115076,12309,265100,Available
R0000224,S000203,Qatar Airways,Privilege Club,Economy,52476,6321,101516,Available
R0000225,S000203,United Airlines,MileagePlus,Economy,36506,10425,82546,Available
R0000226,S000205,Lufthansa,Miles & More,Business,76875,17394,161930,Available
R0000227,S000208,United Airlines,MileagePlus,Business,128107,3732,379469,Available
R0000228,S000209,Emirates,Skywards,Business,104906,15630,244625,Available
R0000229,S000210,Etihad Airways,Etihad Guest,Economy,62621,13123,116986,Available
R0000230,S000210,Qatar Airways,Privilege Club,Economy,53535,6248,162572,Available
R0000231,S000211,Air Canada,Aeroplan,Business,99876,11938,244845,Available
R0000232,S000212,Lufthansa,Miles & More,First,124584,4444,241576,Available
R0000233,S000212,Emirates,Skywards,First,132632,5789,367088,Available
R0000234,S000213,Air India,Flying Returns,Economy,35390,15379,122978,Available
R0000235,S000214,Air Canada,Aeroplan,Business,76582,13747,253974,Available
R0000236,S000214,Qatar Airways,Privilege Club,Business,146820,17762,318794,Available
R0000237,S000215,Singapore Airlines,KrisFlyer,Economy,48474,8852,104531,Available
R0000238,S000216,Singapore Airlines,KrisFlyer,Business,99833,15417,245462,Available
R0000239,S000216,Air India,Flying Returns,Business,92611,14510,251248,Available
R0000240,S000218,Air Canada,Aeroplan,Business,81640,7205,145697,Available
R0000241,S000218,United Airlines,MileagePlus,Business,133824,4494,266816,Available
R0000242,S000218,Emirates,Skywards,Business,107150,13227,210372,Available
R0000243,S000219,Singapore Airlines,KrisFlyer,Business,93565,11768,310566,Available
R0000244,S000220,United Airlines,MileagePlus,First,213340,12003,389139,Available
R0000245,S000220,Qatar Airways,Privilege Club,First,194651,12324,395165,Available
R0000246,S000224,Air India,Flying Returns,Economy,40234,11821,101974,Available
R0000247,S000225,Singapore Airlines,KrisFlyer,Economy,56702,8209,168954,Available
R0000248,S000225,Air India,Flying Returns,Economy,33897,9372,113065,Available
R0000249,S000226,Emirates,Skywards,Economy,32498,8539,103115,Available
R0000250,S000227,Lufthansa,Miles & More,Economy,29342,14665,70389,Available
R0000251,S000229,Qatar Airways,Privilege Club,Business,117593,15890,313076,Available
R0000252,S000229,Air India,Flying Returns,Business,93299,12250,188669,Available
R0000253,S000229,Emirates,Skywards,Business,145044,8380,281585,Available
R0000254,S000230,Etihad Airways,Etihad Guest,Business,107561,9996,329963,Available
R0000255,S000231,Air India,Flying Returns,Economy,53922,9458,121227,Available
R0000256,S000234,Singapore Airlines,KrisFlyer,Economy,26716,16391,66073,Available
R0000257,S000234,Qatar Airways,Privilege Club,Economy,29697,14960,94499,Available
R0000258,S000234,Air India,Flying Returns,Economy,25609,5853,49148,Available
R0000259,S000235,Air India,Flying Returns,Economy,62997,6495,207216,Available
R0000260,S000235,Singapore Airlines,KrisFlyer,Economy,48354,5714,129349,Available
R0000261,S000235,United Airlines,MileagePlus,Economy,41659,9653,82776,Available
R0000262,S000236,Lufthansa,Miles & More,Economy,33775,10299,97830,Available
R0000263,S000237,Singapore Airlines,KrisFlyer,Economy,30891,10388,88073,Available
R0000264,S000239,Air India,Flying Returns,Economy,26339,5746,78737,Available
R0000265,S000239,Lufthansa,Miles & More,Economy,41881,14640,138911,Available
R0000266,S000241,Air India,Flying Returns,Business,76161,7766,238640,Available
R0000267,S000241,United Airlines,MileagePlus,Business,90908,17301,267913,Available
R0000268,S000243,Singapore Airlines,KrisFlyer,Economy,47856,4943,152542,Available
R0000269,S000244,Singapore Airlines,KrisFlyer,Business,143082,6939,282832,Available
R0000270,S000244,Air India,Flying Returns,Business,98380,13051,280237,Available
R0000271,S000245,Etihad Airways,Etihad Guest,Business,83453,11393,182676,Available
R0000272,S000245,Singapore Airlines,KrisFlyer,Business,75705,6018,243344,Available
R0000273,S000246,United Airlines,MileagePlus,Economy,47368,5971,128916,Available
R0000274,S000246,Air India,Flying Returns,Economy,29335,7022,80046,Available
R0000275,S000246,Emirates,Skywards,Economy,46671,13502,93579,Available
R0000276,S000247,United Airlines,MileagePlus,First,156954,8968,309991,Available
R0000277,S000247,Singapore Airlines,KrisFlyer,First,209977,4842,546029,Available
R0000278,S000250,Air Canada,Aeroplan,First,193857,16328,629397,Available
R0000279,S000250,Air India,Flying Returns,First,124058,6073,387964,Available
R0000280,S000250,Qatar Airways,Privilege Club,First,110418,12852,299403,Available
R0000281,S000251,Singapore Airlines,KrisFlyer,Business,86926,12467,197207,Available
R0000282,S000251,United Airlines,MileagePlus,Business,91046,8171,283947,Available
R0000283,S000253,Lufthansa,Miles & More,Business,116745,4567,348557,Available
R0000284,S000253,United Airlines,MileagePlus,Business,67612,12933,123798,Available
R0000285,S000254,Qatar Airways,Privilege Club,Business,109739,6997,321971,Available
R0000286,S000257,United Airlines,MileagePlus,Economy,46014,4930,91419,Available
R0000287,S000257,Singapore Airlines,KrisFlyer,Economy,41176,8491,110967,Available
R0000288,S000259,Qatar Airways,Privilege Club,Economy,31462,13522,82892,Available
R0000289,S000259,Lufthansa,Miles & More,Economy,25082,13003,93132,Available
R0000290,S000261,Lufthansa,Miles & More,Economy,60166,14696,147058,Available
R0000291,S000262,Air India,Flying Returns,Economy,59884,14013,150507,Available
R0000292,S000265,Air Canada,Aeroplan,Economy,59359,7907,163110,Available
R0000293,S000265,Lufthansa,Miles & More,Economy,61492,11055,110110,Available
R0000294,S000265,United Airlines,MileagePlus,Economy,37369,17407,113561,Available
R0000295,S000266,Qatar Airways,Privilege Club,Economy,46827,17071,155084,Available
R0000296,S000267,Air Canada,Aeroplan,Business,69056,17627,146345,Available
R0000297,S000268,Etihad Airways,Etihad Guest,Economy,34006,14658,108781,Available
R0000298,S000269,Emirates,Skywards,Economy,46720,7588,135969,Available
R0000299,S000270,Air Canada,Aeroplan,Business,138758,8183,347300,Available
R0000300,S000270,Singapore Airlines,KrisFlyer,Business,127915,9605,283253,Available
R0000301,S000270,Lufthansa,Miles & More,Business,108071,15894,266757,Available
R0000302,S000271,Lufthansa,Miles & More,Business,98197,3971,298420,Available
R0000303,S000271,Singapore Airlines,KrisFlyer,Business,96533,15861,295641,Available
R0000304,S000272,Air India,Flying Returns,Economy,50057,11773,98015,Available
R0000305,S000272,Singapore Airlines,KrisFlyer,Economy,44177,12799,137356,Available
R0000306,S000273,Emirates,Skywards,Business,116160,6922,264845,Available
R0000307,S000273,Lufthansa,Miles & More,Business,117819,13696,203835,Available
R0000308,S000273,Air India,Flying Returns,Business,74860,3656,179967,Available
R0000309,S000276,United Airlines,MileagePlus,Business,71441,5655,169201,Available
R0000310,S000278,Etihad Airways,Etihad Guest,Economy,26310,11467,62564,Available
R0000311,S000278,Singapore Airlines,KrisFlyer,Economy,31246,3658,57249,Available
R0000312,S000279,United Airlines,MileagePlus,Economy,33113,14696,97926,Available
R0000313,S000280,Qatar Airways,Privilege Club,Economy,60252,6255,102937,Available
R0000314,S000280,Lufthansa,Miles & More,Economy,36294,13559,126950,Available
R0000315,S000281,Etihad Airways,Etihad Guest,Business,82537,11678,230788,Available
R0000316,S000281,Qatar Airways,Privilege Club,Business,72473,13968,217772,Available
R0000317,S000282,Singapore Airlines,KrisFlyer,Economy,40349,4563,85564,Available
R0000318,S000282,Lufthansa,Miles & More,Economy,60334,8422,124487,Available
R0000319,S000283,Qatar Airways,Privilege Club,Business,87400,5592,254766,Available
R0000320,S000284,Etihad Airways,Etihad Guest,Economy,52170,12475,108528,Available
R0000321,S000286,Qatar Airways,Privilege Club,Economy,51359,8877,99822,Available
R0000322,S000286,Air Canada,Aeroplan,Economy,30727,16907,74900,Available
R0000323,S000287,Etihad Airways,Etihad Guest,Business,108070,7036,208281,Available
R0000324,S000287,Emirates,Skywards,Business,62116,14047,146574,Available
R0000325,S000287,Qatar Airways,Privilege Club,Business,98807,10900,275938,Available
R0000326,S000288,Lufthansa,Miles & More,Business,88544,11238,246399,Available
R0000327,S000288,Etihad Airways,Etihad Guest,Business,86670,14013,180117,Available
R0000328,S000290,Air India,Flying Returns,Economy,49535,13712,159302,Available
R0000329,S000290,United Airlines,MileagePlus,Economy,45114,12440,122683,Available
R0000330,S000291,Singapore Airlines,KrisFlyer,Business,78202,6994,211023,Available
R0000331,S000292,Singapore Airlines,KrisFlyer,Economy,64084,16574,162433,Available
R0000332,S000292,Lufthansa,Miles & More,Economy,48070,14976,143808,Available
R0000333,S000294,United Airlines,MileagePlus,First,191628,6386,502916,Available
R0000334,S000294,Etihad Airways,Etihad Guest,First,122669,10374,377804,Available
R0000335,S000294,Air India,Flying Returns,First,133989,6319,223393,Available
R0000336,S000295,Air Canada,Aeroplan,Economy,47747,8967,95823,Available
R0000337,S000296,Air India,Flying Returns,Economy,59888,14837,176943,Available
R0000338,S000296,Lufthansa,Miles & More,Economy,45880,6650,85428,Available
R0000339,S000296,Singapore Airlines,KrisFlyer,Economy,30306,15416,95899,Available
R0000340,S000299,Singapore Airlines,KrisFlyer,Economy,35628,14525,99386,Available
R0000341,S000301,Air India,Flying Returns,Business,123634,13127,278735,Available
R0000342,S000301,Lufthansa,Miles & More,Business,136145,13445,325903,Available
R0000343,S000302,Emirates,Skywards,Economy,31119,5894,60149,Available
R0000344,S000302,Air Canada,Aeroplan,Economy,32843,13921,86967,Available
R0000345,S000305,United Airlines,MileagePlus,Economy,37268,12906,117540,Available
R0000346,S000305,Etihad Airways,Etihad Guest,Economy,46925,11158,128498,Available
R0000347,S000306,Qatar Airways,Privilege Club,Economy,49879,15671,109703,Available
R0000348,S000306,Lufthansa,Miles & More,Economy,59283,4083,118880,Available
R0000349,S000308,Emirates,Skywards,Business,111081,5443,290454,Available
R0000350,S000308,Singapore Airlines,KrisFlyer,Business,114428,14370,280484,Available
R0000351,S000312,Air Canada,Aeroplan,First,118387,9703,226049,Available
R0000352,S000313,Emirates,Skywards,Economy,52817,9860,160193,Available
R0000353,S000315,Emirates,Skywards,First,207562,14362,557460,Available
R0000354,S000316,Lufthansa,Miles & More,Business,99426,12966,215830,Available
R0000355,S000316,Emirates,Skywards,Business,64827,14649,138609,Available
R0000356,S000319,Singapore Airlines,KrisFlyer,Business,70687,10296,129267,Available
R0000357,S000319,Emirates,Skywards,Business,99801,13420,249473,Available
R0000358,S000322,Air Canada,Aeroplan,First,124141,7470,297339,Available
R0000359,S000323,Qatar Airways,Privilege Club,Economy,63374,15785,142847,Available
R0000360,S000324,Qatar Airways,Privilege Club,Economy,28160,15297,62656,Available
R0000361,S000324,United Airlines,MileagePlus,Economy,61119,3960,155867,Available
R0000362,S000325,Etihad Airways,Etihad Guest,Economy,27798,12869,91588,Available
R0000363,S000326,Emirates,Skywards,Business,72917,12309,214711,Available
R0000364,S000326,Lufthansa,Miles & More,Business,144357,11031,472229,Available
R0000365,S000326,Air India,Flying Returns,Business,134706,17785,277140,Available
R0000366,S000329,Air India,Flying Returns,Economy,37534,5116,111402,Available
R0000367,S000330,Lufthansa,Miles & More,Economy,44558,11474,132585,Available
