attempt_id,click_id,user_id,result_id,search_id,attempt_date
BA000041,C000287,U0450,R0000227,S000208,2026-08-09
BA000042,C001372,U0074,R0003741,S003224,2026-06-02
BA000043,C000708,U0244,R0000020,S000017,2026-01-10
BA000044,C000838,U0058,R0004425,S003819,2026-03-06
BA000045,C000594,U0362,R0004124,S003551,2026-06-19
BA000046,C002399,U0254,R0004841,S004183,2026-04-30
BA000047,C001382,U0139,R0005246,S004549,2026-04-27
BA000048,C001149,U0465,R0001548,S001336,2026-07-16
BA000049,C000355,U0136,R0004576,S003929,2026-02-07
BA000050,C000249,U0241,R0000482,S000419,2026-06-25
BA000051,C001335,U0067,R0004538,S003900,2026-05-17
BA000052,C000638,U0158,R0000220,S000198,2026-03-09
BA000053,C002194,U0040,R0006022,S005229,2026-03-29
BA000054,C002398,U0392,R0002244,S001959,2026-08-27
BA000055,C001494,U0467,R0001771,S001530,2026-07-26
BA000056,C001692,U0125,R0006884,S005976,2026-07-24
BA000057,C001375,U0204,R0006530,S005650,2026-06-28
BA000058,C002269,U0052,R0005821,S005038,2026-04-16
BA000059,C001038,U0134,R0006159,S005338,2026-02-11
BA000060,C002313,U0278,R0005434,S004729,2026-03-20
BA000061,C001246,U0002,R0006567,S005681,2026-05-02
BA000062,C000839,U0203,R0001512,S001305,2026-06-30
BA000063,C001845,U0084,R0005492,S004774,2026-01-03
BA000064,C001202,U0086,R0004726,S004067,2026-03-17
BA000065,C001527,U0288,R0003522,S003051,2026-03-17
BA000066,C001284,U0077,R0004132,S003557,2026-05-09
BA000067,C001274,U0169,R0001606,S001392,2026-01-08
BA000068,C002570,U0259,R0003083,S002690,2026-04-10
BA000069,C000027,U0351,R0001941,S001698,2026-07-03
BA000070,C001479,U0099,R0000404,S000367,2026-03-11
BA000071,C000506,U0299,R0001221,S001064,2026-04-21
BA000072,C001222,U0411,R0006031,S005240,2026-04-24
BA000073,C000736,U0288,R0001196,S001036,2026-06-25
BA000074,C000542,U0193,R0000917,S000807,2026-03-13
BA000075,C000607,U0177,R0004557,S003914,2026-07-15
BA000076,C002265,U0487,R0002216,S001939,2026-01-01
BA000077,C000378,U0106,R0000082,S000066,2026-08-21
BA000078,C000132,U0127,R0004907,S004249,2026-07-19
BA000079,C000297,U0320,R0006452,S005577,2026-03-28
BA000080,C001361,U0403,R0002697,S002345,2026-06-26
BA000081,C001863,U0334,R0006557,S005671,2026-02-03
BA000082,C001041,U0462,R0000550,S000477,2026-04-08
BA000083,C000551,U0375,R0002435,S002121,2026-07-31
BA000084,C002163,U0232,R0004447,S003835,2026-05-24
BA000085,C000772,U0173,R0000674,S000600,2026-04-03
BA000086,C002258,U0145,R0003350,S002899,2026-08-13
BA000087,C002558,U0081,R0001308,S001128,2026-08-16
BA000088,C000715,U0254,R0004842,S004183,2026-04-30
BA000089,C002467,U0106,R0000121,S000105,2026-03-31
BA000090,C001593,U0262,R0000129,S000112,2026-04-22
BA000091,C002550,U0492,R0005696,S004941,2026-04-13
BA000092,C002187,U0419,R0005659,S004916,2026-08-12
BA000093,C001886,U0134,R0006841,S005943,2026-02-07
BA000094,C001072,U0193,R0001877,S001633,2026-07-28
BA000095,C001876,U0452,R0000373,S000334,2026-05-30
BA000096,C001010,U0085,R0005747,S004980,2026-01-18
BA000097,C001326,U0431,R0006755,S005862,2026-08-13
BA000098,C001976,U0387,R0006028,S005237,2026-05-15
BA000099,C002104,U0471,R0002985,S002601,2026-05-13
BA000100,C000643,U0021,R0000772,S000675,2026-08-21
BA000101,C000409,U0112,R0002562,S002231,2026-05-29
BA000102,C001926,U0005,R0003578,S003098,2026-03-12
BA000103,C000705,U0054,R0005905,S005120,2026-02-11
BA000104,C002193,U0240,R0005027,S004356,2026-01-08
BA000105,C001288,U0393,R0002836,S002469,2026-06-04
BA000106,C000830,U0260,R0003833,S003306,2026-06-08
BA000107,C002436,U0393,R0003052,S002667,2026-07-18
BA000108,C001548,U0293,R0002661,S002311,2026-04-08
BA000109,C001086,U0202,R0005729,S004963,2026-08-27
BA000110,C002477,U0101,R0005893,S005110,2026-08-02
BA000111,C001694,U0020,R0001337,S001152,2026-05-09
BA000112,C000641,U0246,R0005471,S004760,2026-06-03
BA000113,C002484,U0344,R0004382,S003782,2026-04-08
BA000114,C002300,U0055,R0000702,S000620,2026-03-08
BA000115,C001555,U0196,R0003643,S003143,2026-02-23
BA000116,C001408,U0444,R0001261,S001091,2026-05-01
BA000117,C001999,U0471,R0004867,S004209,2026-07-01
BA000118,C000875,U0368,R0006666,S005774,2026-01-23
BA000119,C000459,U0239,R0004987,S004314,2026-07-07
BA000120,C001769,U0104,R0006257,S005421,2026-02-12
BA000121,C001239,U0073,R0003169,S002768,2026-04-20
BA000122,C002083,U0026,R0004727,S004068,2026-06-21
BA000123,C000394,U0347,R0001806,S001565,2026-02-19
BA000124,C000329,U0020,R0005120,S004430,2026-04-01
BA000125,C000955,U0426,R0002108,S001842,2026-08-25
BA000126,C000068,U0431,R0006756,S005862,2026-08-13
BA000127,C000884,U0166,R0002556,S002228,2026-05-23
BA000128,C001325,U0337,R0001766,S001527,2026-02-13
BA000129,C000587,U0392,R0005793,S005021,2026-06-22
BA000130,C001187,U0312,R0003793,S003272,2026-03-03
BA000131,C001397,U0177,R0004031,S003474,2026-04-28
BA000132,C000923,U0076,R0006903,S005993,2026-06-30
BA000133,C001107,U0010,R0005056,S004373,2026-08-03
BA000134,C001370,U0488,R0001159,S001016,2026-02-03
BA000135,C002230,U0449,R0002093,S001831,2026-07-13
BA000136,C000769,U0003,R0006106,S005296,2026-07-23
BA000137,C000474,U0004,R0004091,S003516,2026-08-14
BA000138,C000235,U0058,R0002456,S002140,2026-07-28
BA000139,C001281,U0159,R0005404,S004698,2026-06-13
BA000140,C002263,U0168,R0006855,S005953,2026-01-06
BA000141,C000285,U0300,R0001340,S001154,2026-04-17
BA000142,C002110,U0084,R0005491,S004774,2026-01-03
BA000143,C001465,U0083,R0004394,S003789,2026-08-11
BA000144,C001106,U0189,R0005579,S004839,2026-02-08
BA000145,C002498,U0105,R0000181,S000158,2026-06-21
BA000146,C001810,U0413,R0003482,S003022,2026-07-19
BA000147,C001698,U0178,R0001176,S001024,2026-05-06
BA000148,C001754,U0265,R0001807,S001567,2026-04-22
BA000149,C000611,U0412,R0002440,S002124,2026-03-12
BA000150,C000920,U0394,R0004413,S003808,2026-05-29
BA000151,C000763,U0306,R0005856,S005081,2026-01-03
BA000152,C001217,U0162,R0002992,S002606,2026-05-30
BA000153,C000372,U0233,R0000092,S000076,2026-01-10
BA000154,C001801,U0298,R0002201,S001924,2026-03-29
BA000155,C001473,U0148,R0002115,S001847,2026-07-23
BA000156,C001825,U0244,R0002706,S002354,2026-04-02
BA000157,C001942,U0154,R0000513,S000446,2026-05-08
BA000158,C000761,U0134,R0002865,S002501,2026-01-08
BA000159,C001625,U0217,R0004702,S004047,2026-01-03
BA000160,C001953,U0326,R0002128,S001858,2026-03-03
BA000161,C000077,U0281,R0001419,S001218,2026-05-27
BA000162,C000157,U0434,R0000097,S000079,2026-02-25
BA000163,C001729,U0242,R0001495,S001290,2026-05-21
BA000164,C000376,U0309,R0006016,S005225,2026-08-27
BA000165,C000100,U0128,R0003764,S003244,2026-03-13
BA000166,C001851,U0019,R0001575,S001364,2026-01-31
BA000167,C000560,U0008,R0000013,S000012,2026-01-03
BA000168,C001323,U0009,R0000154,S000133,2026-07-18
BA000169,C001735,U0206,R0005970,S005177,2026-04-27
BA000170,C002411,U0207,R0005681,S004931,2026-06-29
BA000171,C001621,U0294,R0000827,S000728,2026-01-19
BA000172,C001638,U0380,R0002941,S002565,2026-02-07
BA000173,C001130,U0302,R0000625,S000553,2026-08-17
BA000174,C000868,U0228,R0000527,S000456,2026-06-06
BA000175,C001099,U0382,R0006723,S005832,2026-07-31
BA000176,C000567,U0243,R0003174,S002770,2026-06-26
BA000177,C002199,U0413,R0005400,S004694,2026-01-19
BA000178,C001133,U0275,R0003628,S003130,2026-03-16
BA000179,C000314,U0320,R0006132,S005317,2026-06-13
BA000180,C000247,U0326,R0006767,S005872,2026-02-10
BA000181,C000221,U0005,R0001619,S001400,2026-05-31
BA000182,C001554,U0185,R0006211,S005380,2026-02-25
BA000183,C001755,U0040,R0000276,S000247,2026-04-05
BA000184,C000446,U0401,R0000871,S000768,2026-04-11
BA000185,C002305,U0113,R0006295,S005454,2026-03-23
BA000186,C001939,U0243,R0000684,S000608,2026-01-02
BA000187,C002010,U0351,R0002896,S002530,2026-04-16
BA000188,C001522,U0060,R0000695,S000614,2026-08-28
BA000189,C000309,U0279,R0003800,S003277,2026-03-08
BA000190,C002406,U0491,R0003876,S003342,2026-01-19
BA000191,C002532,U0394,R0002906,S002536,2026-02-21
BA000192,C000024,U0036,R0001702,S001465,2026-02-28
BA000193,C001693,U0447,R0001096,S000952,2026-01-06
BA000194,C002282,U0172,R0003831,S003305,2026-06-06
BA000195,C001514,U0189,R0003446,S002991,2026-01-22
BA000196,C002296,U0325,R0004058,S003492,2026-08-01
BA000197,C001123,U0353,R0002048,S001795,2026-08-21
BA000198,C000557,U0453,R0002059,S001803,2026-01-03
BA000199,C001669,U0498,R0005004,S004329,2026-01-07
BA000200,C001787,U0499,R0000777,S000678,2026-04-16
BA000201,C002368,U0029,R0005901,S005117,2026-08-25
BA000202,C000105,U0326,R0001311,S001132,2026-07-16
BA000203,C001857,U0036,R0002403,S002098,2026-07-20
BA000204,C001530,U0256,R0001268,S001097,2026-05-25
BA000205,C001595,U0459,R0003872,S003340,2026-08-21
BA000206,C000610,U0031,R0005591,S004846,2026-03-06
BA000207,C001762,U0296,R0004227,S003637,2026-02-05
BA000208,C002583,U0360,R0005797,S005023,2026-01-29
BA000209,C001206,U0457,R0001067,S000929,2026-04-22
BA000210,C002138,U0042,R0006833,S005938,2026-01-11
BA000211,C001866,U0250,R0006368,S005504,2026-01-12
BA000212,C001807,U0130,R0001314,S001134,2026-08-09
BA000213,C002202,U0452,R0001440,S001239,2026-04-22
BA000214,C000895,U0058,R0002681,S002333,2026-01-25
BA000215,C001466,U0434,R0003098,S002712,2026-07-14
BA000216,C001077,U0115,R0006719,S005829,2026-04-04
BA000217,C000001,U0143,R0006057,S005257,2026-05-28
BA000218,C002367,U0437,R0006466,S005592,2026-07-30
BA000219,C000088,U0184,R0006694,S005807,2026-07-10
BA000220,C000754,U0217,R0005780,S005006,2026-06-22
BA000221,C000106,U0358,R0003925,S003382,2026-04-25
BA000222,C001045,U0395,R0005333,S004629,2026-04-04
BA000223,C000343,U0092,R0004952,S004293,2026-03-28
BA000224,C000928,U0052,R0000873,S000769,2026-01-08
BA000225,C002035,U0476,R0002129,S001860,2026-05-18
BA000226,C001661,U0321,R0005348,S004642,2026-07-28
BA000227,C000999,U0023,R0002704,S002353,2026-07-15
BA000228,C000694,U0339,R0005014,S004343,2026-06-15
BA000229,C000370,U0365,R0005960,S005169,2026-02-24
BA000230,C001517,U0163,R0003999,S003444,2026-03-02
BA000231,C002593,U0316,R0002879,S002510,2026-04-14
BA000232,C001263,U0152,R0006498,S005617,2026-07-04
BA000233,C000293,U0151,R0002914,S002543,2026-07-27
BA000234,C002235,U0468,R0000135,S000116,2026-07-22
BA000235,C002434,U0307,R0004595,S003946,2026-05-31
BA000236,C001592,U0498,R0005834,S005055,2026-08-15
BA000237,C001293,U0155,R0001800,S001558,2026-04-19
BA000238,C000981,U0041,R0006394,S005525,2026-05-17
BA000239,C000725,U0264,R0000966,S000846,2026-06-24
BA000240,C001058,U0184,R0000626,S000554,2026-06-09
BA000241,C000762,U0414,R0004786,S004129,2026-02-11
BA000242,C002148,U0292,R0006496,S005616,2026-01-15
BA000243,C000084,U0009,R0006851,S005949,2026-06-18
BA000244,C000525,U0297,R0001622,S001401,2026-02-09
BA000245,C001017,U0180,R0003772,S003250,2026-01-28
BA000246,C002144,U0274,R0005971,S005178,2026-07-10
BA000247,C001923,U0198,R0001256,S001089,2026-07-30
BA000248,C002360,U0054,R0005906,S005120,2026-02-11
BA000249,C001836,U0021,R0005066,S004383,2026-02-13
BA000250,C001371,U0197,R0000994,S000866,2026-07-29
BA000251,C000095,U0388,R0004533,S003892,2026-06-30
BA000252,C001717,U0005,R0006745,S005853,2026-02-23
BA000253,C001486,U0413,R0001350,S001160,2026-02-27
BA000254,C001913,U0071,R0005611,S004871,2026-05-11
BA000255,C000564,U0146,R0000010,S000006,2026-07-19
BA000256,C000007,U0302,R0003669,S003167,2026-06-16
BA000257,C001392,U0060,R0005974,S005181,2026-02-16
BA000258,C000741,U0203,R0002870,S002503,2026-04-24
BA000259,C002393,U0321,R0001917,S001673,2026-08-06
BA000260,C001478,U0099,R0006625,S005727,2026-06-28
BA000261,C000289,U0430,R0001290,S001116,2026-03-15
BA000262,C002076,U0471,R0001611,S001394,2026-03-05
BA000263,C001450,U0191,R0006268,S005432,2026-05-25
BA000264,C001161,U0160,R0004878,S004217,2026-08-20
BA000265,C002255,U0160,R0004444,S003832,2026-08-07
BA000266,C001765,U0183,R0003699,S003191,2026-01-15
BA000267,C002140,U0481,R0000641,S000569,2026-04-18
BA000268,C002585,U0231,R0004855,S004200,2026-05-05
BA000269,C001094,U0273,R0002296,S002003,2026-06-01
BA000270,C001615,U0139,R0001233,S001072,2026-07-02
BA000271,C002177,U0026,R0006019,S005226,2026-08-28
BA000272,C002018,U0367,R0006897,S005989,2026-07-21
BA000273,C000439,U0407,R0003414,S002966,2026-03-20
BA000274,C002132,U0146,R0006015,S005220,2026-04-22
BA000275,C001730,U0344,R0005732,S004965,2026-05-13
BA000276,C002392,U0360,R0002495,S002174,2026-07-20
BA000277,C000508,U0289,R0002774,S002407,2026-04-11
BA000278,C002373,U0140,R0000785,S000685,2026-07-19
BA000279,C001772,U0387,R0000399,S000364,2026-07-26
BA000280,C002067,U0478,R0000886,S000781,2026-03-31
BA000281,C002074,U0419,R0001719,S001481,2026-08-25
BA000282,C001901,U0205,R0002365,S002059,2026-03-26
BA000283,C001152,U0143,R0004743,S004089,2026-07-03
BA000284,C001839,U0122,R0001441,S001241,2026-08-28
BA000285,C001305,U0373,R0002470,S002154,2026-01-28
BA000286,C000685,U0338,R0004316,S003722,2026-07-26
BA000287,C001062,U0300,R0001341,S001154,2026-04-17
BA000288,C001800,U0435,R0003885,S003351,2026-03-27
BA000289,C001858,U0271,R0001656,S001427,2026-06-08
BA000290,C001599,U0421,R0004016,S003460,2026-01-23
BA000291,C001088,U0298,R0006248,S005413,2026-04-23
BA000292,C001471,U0281,R0000706,S000626,2026-07-12
BA000293,C002120,U0220,R0006095,S005289,2026-07-04
BA000294,C002072,U0389,R0002819,S002447,2026-03-12
BA000295,C001227,U0074,R0000460,S000405,2026-06-05
BA000296,C002097,U0340,R0000073,S000060,2026-01-03
BA000297,C002207,U0155,R0005624,S004882,2026-05-10
BA000298,C002506,U0202,R0005680,S004930,2026-05-24
BA000299,C002341,U0052,R0003978,S003426,2026-03-25
BA000300,C001547,U0228,R0006520,S005639,2026-03-23
BA000301,C001377,U0171,R0000426,S000382,2026-05-29
BA000302,C001085,U0241,R0004559,S003916,2026-08-22
BA000303,C000844,U0279,R0002957,S002580,2026-04-02
BA000304,C001110,U0044,R0006171,S005349,2026-04-19
BA000305,C000544,U0429,R0001304,S001123,2026-02-02
BA000306,C000531,U0085,R0002768,S002405,2026-02-03
BA000307,C002396,U0326,R0002127,S001858,2026-03-03
BA000308,C001172,U0272,R0002576,S002247,2026-03-04
BA000309,C001804,U0488,R0001108,S000964,2026-06-27
BA000310,C001652,U0269,R0001229,S001069,2026-08-15
BA000311,C000404,U0046,R0006870,S005967,2026-06-21
BA000312,C001391,U0013,R0006713,S005823,2026-08-12
BA000313,C002294,U0102,R0002182,S001906,2026-06-10
BA000314,C000430,U0472,R0000051,S000041,2026-07-24
BA000315,C002511,U0142,R0005789,S005018,2026-04-10
BA000316,C000989,U0246,R0004755,S004103,2026-06-18
BA000317,C000891,U0081,R0003308,S002867,2026-07-16
BA000318,C001609,U0375,R0004708,S004053,2026-02-11
BA000319,C001907,U0088,R0004281,S003688,2026-04-30
BA000320,C002170,U0113,R0006782,S005886,2026-06-29
BA000321,C002071,U0361,R0001298,S001120,2026-02-10
BA000322,C000889,U0457,R0004066,S003496,2026-07-22
BA000323,C001861,U0073,R0000609,S000536,2026-03-28
BA000324,C001232,U0238,R0003275,S002842,2026-01-02
BA000325,C001499,U0475,R0000810,S000710,2026-08-06
BA000326,C001074,U0228,R0005639,S004896,2026-08-10
BA000327,C000192,U0338,R0001597,S001385,2026-07-14
BA000328,C000886,U0312,R0000856,S000751,2026-08-11
BA000329,C001007,U0058,R0003906,S003369,2026-04-10
BA000330,C001542,U0436,R0000056,S000044,2026-07-31
BA000331,C000170,U0027,R0000730,S000648,2026-08-25
BA000332,C000675,U0230,R0001172,S001022,2026-07-26
BA000333,C001039,U0236,R0004747,S004096,2026-08-26
BA000334,C001364,U0068,R0006829,S005935,2026-07-05
BA000335,C000064,U0253,R0000052,S000042,2026-05-01
BA000336,C000972,U0460,R0004979,S004308,2026-08-13
BA000337,C000961,U0367,R0000326,S000288,2026-07-16
BA000338,C000876,U0044,R0006734,S005842,2026-01-12
BA000339,C002524,U0140,R0002060,S001804,2026-07-30
BA000340,C002155,U0389,R0001325,S001140,2026-08-09
BA000341,C002295,U0119,R0004997,S004325,2026-05-13
BA000342,C001921,U0456,R0002614,S002275,2026-02-27
BA000343,C001869,U0270,R0000352,S000313,2026-05-10
BA000344,C001145,U0143,R0001334,S001149,2026-04-14
BA000345,C001341,U0200,R0005767,S004997,2026-04-29
BA000346,C001493,U0456,R0004659,S004007,2026-01-18
BA000347,C001354,U0155,R0005372,S004670,2026-03-15
BA000348,C001853,U0090,R0005722,S004959,2026-07-30
BA000349,C000887,U0220,R0002874,S002506,2026-03-06
BA000350,C000656,U0262,R0002352,S002050,2026-02-12
BA000351,C000127,U0416,R0001703,S001466,2026-02-15
BA000352,C001429,U0105,R0004898,S004241,2026-06-24
BA000353,C001536,U0465,R0005617,S004876,2026-02-18
BA000354,C002152,U0294,R0004651,S004003,2026-06-06
BA000355,C001485,U0439,R0002547,S002221,2026-03-21
BA000356,C000834,U0161,R0003213,S002798,2026-05-23
BA000357,C002185,U0266,R0002328,S002031,2026-07-03
BA000358,C001073,U0064,R0001371,S001179,2026-01-09
BA000359,C001572,U0199,R0006663,S005773,2026-08-09
BA000360,C001066,U0189,R0005114,S004426,2026-03-23
BA000361,C001949,U0044,R0000476,S000415,2026-07-30
BA000362,C000403,U0357,R0002537,S002215,2026-07-10
BA000363,C001049,U0134,R0006158,S005338,2026-02-11
BA000364,C002483,U0445,R0005234,S004534,2026-05-17
BA000365,C000193,U0488,R0001158,S001016,2026-02-03
BA000366,C001879,U0172,R0002423,S002113,2026-07-20
BA000367,C002088,U0462,R0000386,S000350,2026-05-26
BA000368,C000845,U0183,R0000208,S000185,2026-01-18
BA000369,C002519,U0428,R0005956,S005165,2026-05-11
BA000370,C002507,U0370,R0001710,S001474,2026-06-02
BA000371,C001630,U0030,R0002131,S001862,2026-06-21
BA000372,C000942,U0259,R0006753,S005858,2026-03-25
BA000373,C000438,U0078,R0001182,S001028,2026-08-09
BA000374,C000504,U0046,R0001345,S001156,2026-02-22
BA000375,C000207,U0391,R0005991,S005195,2026-04-06
BA000376,C000572,U0042,R0003081,S002689,2026-07-08
BA000377,C001265,U0082,R0005410,S004702,2026-01-11
BA000378,C002421,U0151,R0002913,S002543,2026-07-27
BA000379,C002363,U0301,R0006603,S005707,2026-07-17
BA000380,C001484,U0052,R0000874,S000769,2026-01-08
BA000381,C000556,U0380,R0002970,S002591,2026-04-28
BA000382,C001433,U0334,R0005263,S004563,2026-02-28
BA000383,C000023,U0441,R0006322,S005471,2026-03-09
BA000384,C001040,U0031,R0002270,S001982,2026-03-25
BA000385,C002539,U0221,R0005683,S004933,2026-05-16
BA000386,C001541,U0336,R0003565,S003087,2026-02-03
BA000387,C001864,U0356,R0000166,S000144,2026-04-22
BA000388,C001985,U0338,R0001642,S001420,2026-06-19
BA000389,C000857,U0015,R0003513,S003041,2026-01-04
BA000390,C001065,U0475,R0003914,S003373,2026-05-24
BA000391,C001162,U0019,R0003397,S002944,2026-03-14
BA000392,C002053,U0148,R0001665,S001437,2026-07-30
BA000393,C002030,U0114,R0002445,S002130,2026-04-18
BA000394,C002352,U0207,R0005178,S004479,2026-01-18
BA000395,C000951,U0262,R0000888,S000782,2026-07-05
BA000396,C002216,U0231,R0006432,S005559,2026-03-26
BA000397,C002092,U0016,R0003154,S002757,2026-07-04
BA000398,C000159,U0318,R0006739,S005845,2026-03-23
BA000399,C000590,U0314,R0000792,S000693,2026-06-24
BA000400,C001384,U0073,R0003171,S002768,2026-04-20
BA000401,C002418,U0009,R0005427,S004721,2026-04-20
BA000402,C002146,U0189,R0005920,S005131,2026-05-25
BA000403,C000261,U0159,R0005993,S005197,2026-03-02
BA000404,C002208,U0076,R0006867,S005960,2026-03-14
BA000405,C000341,U0282,R0006494,S005613,2026-04-25
BA000406,C001916,U0196,R0005516,S004792,2026-08-14
BA000407,C002374,U0398,R0001894,S001652,2026-04-04
BA000408,C001121,U0342,R0000591,S000511,2026-02-08
BA000409,C001495,U0436,R0003506,S003035,2026-05-20
BA000410,C001523,U0234,R0001053,S000913,2026-08-13
BA000411,C000191,U0211,R0001822,S001582,2026-05-21
BA000412,C000125,U0471,R0003651,S003149,2026-06-05
BA000413,C001636,U0334,R0001783,S001542,2026-03-25
BA000414,C002541,U0437,R0001285,S001109,2026-06-28
BA000415,C001398,U0449,R0001278,S001105,2026-06-17
BA000416,C002091,U0378,R0003376,S002923,2026-02-19
BA000417,C001733,U0028,R0004957,S004296,2026-06-06
BA000418,C002149,U0331,R0002893,S002528,2026-04-22
BA000419,C002451,U0325,R0000216,S000194,2026-01-28
BA000420,C000842,U0274,R0004228,S003638,2026-03-28
BA000421,C002403,U0277,R0005524,S004799,2026-05-24
BA000422,C000800,U0006,R0003076,S002685,2026-04-21
BA000423,C000579,U0149,R0002151,S001877,2026-08-25
BA000424,C000661,U0172,R0005945,S005154,2026-04-04
BA000425,C002249,U0019,R0002005,S001752,2026-02-18
BA000426,C002157,U0250,R0000183,S000160,2026-04-14
BA000427,C000946,U0299,R0000400,S000365,2026-01-18
BA000428,C000440,U0470,R0003991,S003437,2026-02-25
BA000429,C000881,U0174,R0005771,S004999,2026-04-27
BA000430,C002377,U0409,R0004977,S004306,2026-07-02
BA000431,C001715,U0334,R0002489,S002170,2026-08-17
BA000432,C001318,U0335,R0002766,S002404,2026-05-14
BA000433,C001147,U0254,R0000666,S000595,2026-05-10
BA000434,C000937,U0049,R0000058,S000046,2026-05-28
BA000435,C001331,U0425,R0004547,S003908,2026-07-02
BA000436,C002458,U0001,R0000203,S000180,2026-01-15
BA000437,C002288,U0488,R0006468,S005595,2026-01-02
BA000438,C002440,U0167,R0000963,S000844,2026-08-02
BA000439,C002337,U0471,R0000070,S000055,2026-07-12
BA000440,C001967,U0149,R0003068,S002677,2026-06-28
BA000441,C001282,U0069,R0004130,S003554,2026-02-10
BA000442,C001481,U0206,R0002031,S001777,2026-05-20
BA000443,C000146,U0095,R0005962,S005170,2026-05-12
BA000444,C000615,U0074,R0006426,S005554,2026-06-28
BA000445,C001135,U0031,R0005716,S004955,2026-02-02
BA000446,C000318,U0083,R0004395,S003789,2026-08-11
BA000447,C002175,U0056,R0001181,S001027,2026-03-19
BA000448,C001349,U0448,R0004096,S003522,2026-01-21
BA000449,C001214,U0068,R0000890,S000783,2026-06-05
BA000450,C000284,U0485,R0003186,S002781,2026-04-21
BA000451,C002231,U0247,R0002629,S002286,2026-03-26
BA000452,C000768,U0157,R0006724,S005833,2026-06-19
BA000453,C000848,U0310,R0003536,S003061,2026-06-21
BA000454,C001742,U0383,R0004630,S003979,2026-05-12
BA000455,C001627,U0084,R0000333,S000294,2026-01-02
BA000456,C001141,U0461,R0005874,S005093,2026-08-25
BA000457,C002496,U0038,R0004501,S003873,2026-01-07
BA000458,C000806,U0119,R0002784,S002414,2026-03-08
BA000459,C002408,U0392,R0006385,S005514,2026-04-27
BA000460,C001962,U0066,R0003546,S003065,2026-06-07
BA000461,C001543,U0205,R0001063,S000927,2026-07-29
BA000462,C000963,U0498,R0001162,S001017,2026-08-15
BA000463,C002439,U0228,R0006234,S005399,2026-07-03
BA000464,C001951,U0488,R0000677,S000602,2026-04-20
BA000465,C002081,U0368,R0001263,S001093,2026-03-01
BA000466,C000187,U0447,R0003491,S003027,2026-06-16
BA000467,C000267,U0236,R0006222,S005388,2026-03-28
BA000468,C001131,U0372,R0002881,S002513,2026-03-25
BA000469,C000850,U0498,R0005002,S004329,2026-01-07
BA000470,C000867,U0187,R0003913,S003372,2026-04-17
BA000471,C001620,U0490,R0003250,S002819,2026-03-24
BA000472,C002024,U0261,R0002256,S001967,2026-07-21
BA000473,C001150,U0240,R0005025,S004356,2026-01-08
BA000474,C001989,U0353,R0004915,S004256,2026-08-16
BA000475,C001878,U0344,R0006516,S005635,2026-05-29
BA000476,C000083,U0299,R0005023,S004354,2026-07-12
BA000477,C001613,U0158,R0000338,S000296,2026-03-10
BA000478,C002545,U0270,R0002845,S002478,2026-04-27
BA000479,C002158,U0275,R0004541,S003901,2026-03-08
BA000480,C001585,U0026,R0000564,S000487,2026-02-20
