user_id,signup_date,city,user_type,age_group
U0046,2026-03-25,Mumbai,Points Enthusiast,35-44
U0047,2026-05-03,Pune,Premium Cardholder,25-34
U0048,2025-02-03,Pune,Frequent Traveler,25-34
U0049,2025-12-14,Bengaluru,Frequent Traveler,25-34
U0050,2025-04-05,Chennai,Premium Cardholder,18-24
U0051,2025-03-13,Bengaluru,Casual Traveler,25-34
U0052,2026-07-05,Chennai,Points Enthusiast,18-24
U0053,2025-06-03,Hyderabad,Casual Traveler,18-24
U0054,2025-09-07,Delhi,Casual Traveler,25-34
U0055,2026-03-14,Bengaluru,Frequent Traveler,25-34
U0056,2025-04-28,Kolkata,Casual Traveler,18-24
U0057,2025-11-02,Chennai,Premium Cardholder,35-44
U0058,2025-09-25,Bengaluru,Premium Cardholder,25-34
U0059,2025-02-23,Jaipur,Premium Cardholder,45+
U0060,2025-08-24,Mumbai,Premium Cardholder,45+
U0061,2026-01-24,Kolkata,Frequent Traveler,25-34
U0062,2026-02-05,Kolkata,Premium Cardholder,25-34
U0063,2025-10-30,Chennai,Casual Traveler,18-24
U0064,2025-07-26,Jaipur,Frequent Traveler,25-34
U0065,2025-08-17,Jaipur,Premium Cardholder,35-44
U0066,2026-08-01,Pune,Frequent Traveler,25-34
U0067,2025-03-16,Chennai,Premium Cardholder,25-34
U0068,2026-03-11,Delhi,Casual Traveler,25-34
U0069,2025-04-13,Mumbai,Premium Cardholder,18-24
U0070,2026-02-26,Hyderabad,Casual Traveler,35-44
U0071,2025-11-02,Kolkata,Points Enthusiast,25-34
U0072,2025-04-08,Hyderabad,Premium Cardholder,25-34
U0073,2025-12-01,Bengaluru,Premium Cardholder,25-34
U0074,2026-03-11,Bengaluru,Casual Traveler,45+
U0075,2026-03-23,Hyderabad,Points Enthusiast,18-24
U0076,2025-11-04,Bengaluru,Points Enthusiast,25-34
U0077,2025-09-06,Delhi,Points Enthusiast,35-44
U0078,2025-06-15,Jaipur,Premium Cardholder,25-34
U0079,2026-04-26,Bengaluru,Frequent Traveler,45+
U0080,2025-12-01,Pune,Premium Cardholder,35-44
U0081,2026-06-26,Bengaluru,Casual Traveler,35-44
U0082,2025-04-16,Mumbai,Points Enthusiast,35-44
U0083,2026-07-17,Delhi,Premium Cardholder,45+
U0084,2025-03-22,Mumbai,Premium Cardholder,45+
U0085,2025-05-13,Mumbai,Premium Cardholder,35-44
U0086,2025-05-18,Pune,Premium Cardholder,35-44
U0087,2025-07-03,Delhi,Points Enthusiast,18-24
U0088,2026-02-05,Delhi,Points Enthusiast,18-24
U0089,2025-11-26,Chennai,Casual Traveler,25-34
U0090,2026-05-23,Delhi,Frequent Traveler,18-24
U0091,2025-03-10,Delhi,Premium Cardholder,25-34
U0092,2026-06-30,Delhi,Points Enthusiast,25-34
U0093,2025-02-22,Pune,Points Enthusiast,25-34
U0094,2026-03-26,Bengaluru,Frequent Traveler,35-44
U0095,2025-07-24,Chennai,Points Enthusiast,45+
U0096,2025-05-06,Mumbai,Frequent Traveler,18-24
U0097,2025-02-12,Delhi,Frequent Traveler,25-34
U0098,2025-04-21,Kolkata,Frequent Traveler,45+
U0099,2025-07-02,Bengaluru,Premium Cardholder,18-24
U0100,2025-04-05,Bengaluru,Premium Cardholder,35-44
U0101,2026-01-09,Mumbai,Premium Cardholder,25-34
U0102,2026-06-04,Pune,Points Enthusiast,25-34
U0103,2025-12-26,Hyderabad,Premium Cardholder,45+
U0104,2025-10-08,Hyderabad,Frequent Traveler,25-34
U0105,2025-07-14,Bengaluru,Casual Traveler,35-44
U0106,2025-07-14,Jaipur,Premium Cardholder,35-44
U0107,2025-04-03,Jaipur,Frequent Traveler,18-24
U0108,2025-03-02,Mumbai,Points Enthusiast,35-44
U0109,2025-02-20,Hyderabad,Premium Cardholder,45+
U0110,2026-02-07,Bengaluru,Premium Cardholder,18-24
U0111,2025-01-05,Pune,Premium Cardholder,45+
U0112,2026-04-11,Hyderabad,Premium Cardholder,25-34
U0113,2026-06-18,Bengaluru,Casual Traveler,35-44
U0114,2026-02-09,Bengaluru,Casual Traveler,35-44
U0115,2026-05-28,Delhi,Points Enthusiast,25-34
U0116,2025-08-21,Pune,Casual Traveler,45+
U0117,2026-06-08,Delhi,Casual Traveler,45+
U0118,2025-12-12,Mumbai,Premium Cardholder,35-44
U0119,2025-02-15,Delhi,Casual Traveler,35-44
U0120,2026-06-30,Kolkata,Frequent Traveler,35-44
U0121,2025-03-19,Delhi,Casual Traveler,25-34
U0122,2025-03-14,Kolkata,Casual Traveler,35-44
U0123,2025-09-06,Hyderabad,Premium Cardholder,25-34
U0124,2025-02-16,Jaipur,Premium Cardholder,25-34
U0125,2025-05-01,Chennai,Premium Cardholder,35-44
U0126,2025-08-02,Chennai,Frequent Traveler,25-34
U0127,2025-08-27,Bengaluru,Casual Traveler,18-24
U0128,2025-02-25,Chennai,Casual Traveler,18-24
U0129,2025-12-16,Kolkata,Premium Cardholder,25-34
U0130,2025-04-17,Pune,Frequent Traveler,35-44
U0131,2025-02-17,Delhi,Frequent Traveler,25-34
U0132,2026-07-27,Kolkata,Premium Cardholder,35-44
U0133,2025-12-03,Pune,Premium Cardholder,25-34
U0134,2025-01-26,Jaipur,Premium Cardholder,35-44
U0135,2025-09-14,Chennai,Casual Traveler,25-34
U0136,2025-01-08,Jaipur,Premium Cardholder,25-34
U0137,2025-09-10,Chennai,Frequent Traveler,35-44
U0138,2025-10-30,Delhi,Points Enthusiast,35-44
U0139,2025-02-25,Mumbai,Frequent Traveler,25-34
U0140,2026-06-10,Delhi,Casual Traveler,18-24
U0141,2026-04-19,Hyderabad,Casual Traveler,18-24
U0142,2025-01-28,Kolkata,Premium Cardholder,18-24
U0143,2025-03-19,Bengaluru,Frequent Traveler,35-44
U0144,2025-08-04,Mumbai,Premium Cardholder,25-34
U0145,2026-01-21,Delhi,Premium Cardholder,25-34
U0146,2025-12-31,Pune,Premium Cardholder,25-34
U0147,2026-06-10,Mumbai,Points Enthusiast,18-24
U0148,2025-11-08,Kolkata,Frequent Traveler,25-34
U0149,2025-01-07,Chennai,Premium Cardholder,25-34
U0150,2025-01-03,Mumbai,Premium Cardholder,25-34
U0151,2025-12-29,Chennai,Casual Traveler,25-34
U0152,2026-05-23,Kolkata,Premium Cardholder,35-44
U0153,2025-10-01,Delhi,Premium Cardholder,18-24
U0154,2026-05-21,Kolkata,Frequent Traveler,45+
U0155,2025-01-15,Mumbai,Casual Traveler,25-34
U0156,2025-07-11,Pune,Premium Cardholder,35-44
U0157,2026-04-30,Jaipur,Points Enthusiast,35-44
U0158,2025-01-28,Mumbai,Points Enthusiast,35-44
U0159,2025-02-08,Kolkata,Premium Cardholder,35-44
U0160,2025-09-30,Jaipur,Points Enthusiast,25-34
U0161,2025-08-19,Kolkata,Frequent Traveler,25-34
U0162,2025-03-27,Pune,Points Enthusiast,25-34
U0163,2026-04-19,Kolkata,Points Enthusiast,25-34
U0164,2025-05-06,Delhi,Frequent Traveler,18-24
U0165,2026-06-21,Bengaluru,Premium Cardholder,25-34
U0166,2025-05-25,Chennai,Casual Traveler,35-44
U0167,2026-06-09,Chennai,Premium Cardholder,25-34
U0168,2025-07-31,Mumbai,Premium Cardholder,35-44
U0169,2025-01-25,Bengaluru,Premium Cardholder,35-44
U0170,2026-08-03,Kolkata,Frequent Traveler,45+
U0171,2026-01-29,Pune,Points Enthusiast,25-34
U0172,2025-03-08,Mumbai,Premium Cardholder,25-34
U0173,2025-08-21,Kolkata,Frequent Traveler,25-34
U0174,2025-04-19,Jaipur,Premium Cardholder,25-34
U0175,2025-05-26,Hyderabad,Points Enthusiast,35-44
U0176,2025-04-21,Kolkata,Premium Cardholder,25-34
U0177,2025-08-16,Bengaluru,Points Enthusiast,35-44
U0178,2025-04-21,Mumbai,Frequent Traveler,25-34
U0179,2026-04-15,Bengaluru,Casual Traveler,35-44
U0180,2025-02-03,Mumbai,Premium Cardholder,35-44
U0181,2026-01-04,Kolkata,Premium Cardholder,25-34
U0182,2026-08-18,Delhi,Premium Cardholder,25-34
U0183,2026-07-08,Jaipur,Casual Traveler,25-34
U0184,2026-03-01,Kolkata,Casual Traveler,18-24
U0185,2026-06-02,Chennai,Premium Cardholder,25-34
U0186,2025-10-09,Bengaluru,Points Enthusiast,18-24
U0187,2025-11-16,Hyderabad,Casual Traveler,25-34
U0188,2026-03-19,Hyderabad,Frequent Traveler,25-34
U0189,2025-11-11,Pune,Frequent Traveler,25-34
U0190,2026-01-12,Mumbai,Premium Cardholder,35-44
U0191,2025-10-16,Bengaluru,Premium Cardholder,18-24
U0192,2026-03-13,Pune,Casual Traveler,35-44
U0193,2025-10-04,Bengaluru,Casual Traveler,25-34
U0194,2026-08-05,Chennai,Points Enthusiast,25-34
U0195,2026-05-18,Mumbai,Premium Cardholder,35-44
U0196,2026-05-31,Kolkata,Premium Cardholder,18-24
U0197,2025-12-16,Kolkata,Points Enthusiast,25-34
U0198,2026-03-22,Hyderabad,Casual Traveler,25-34
U0199,2025-12-16,Kolkata,Casual Traveler,25-34
U0200,2025-05-17,Kolkata,Points Enthusiast,25-34
U0201,2025-08-31,Chennai,Points Enthusiast,25-34
U0202,2026-06-27,Delhi,Premium Cardholder,45+
U0203,2025-02-09,Hyderabad,Premium Cardholder,25-34
U0204,2025-08-17,Pune,Casual Traveler,25-34
U0205,2026-07-02,Jaipur,Points Enthusiast,25-34
U0206,2025-08-11,Delhi,Premium Cardholder,35-44
U0207,2025-01-06,Pune,Premium Cardholder,18-24
U0208,2025-11-18,Mumbai,Points Enthusiast,25-34
U0209,2026-04-13,Delhi,Premium Cardholder,25-34
U0210,2025-03-16,Chennai,Premium Cardholder,45+
U0211,2025-01-04,Pune,Frequent Traveler,25-34
U0212,2025-04-28,Mumbai,Points Enthusiast,25-34
U0213,2026-05-19,Hyderabad,Points Enthusiast,25-34
U0214,2026-07-28,Jaipur,Premium Cardholder,35-44
U0215,2026-03-17,Mumbai,Points Enthusiast,25-34
U0216,2025-07-13,Kolkata,Premium Cardholder,25-34
U0217,2026-01-27,Bengaluru,Premium Cardholder,35-44
U0218,2025-01-26,Mumbai,Points Enthusiast,35-44
U0219,2026-03-11,Mumbai,Points Enthusiast,25-34
U0220,2025-06-22,Jaipur,Casual Traveler,35-44
U0221,2025-10-27,Bengaluru,Points Enthusiast,25-34
U0222,2025-11-22,Kolkata,Frequent Traveler,25-34
U0223,2026-02-14,Pune,Premium Cardholder,18-24
U0224,2025-04-28,Pune,Frequent Traveler,45+
U0225,2025-08-13,Mumbai,Premium Cardholder,18-24
U0226,2026-06-16,Chennai,Premium Cardholder,25-34
U0227,2025-04-23,Chennai,Casual Traveler,18-24
U0228,2025-05-20,Bengaluru,Frequent Traveler,35-44
U0229,2026-07-13,Bengaluru,Casual Traveler,25-34
U0230,2025-01-01,Kolkata,Points Enthusiast,25-34
U0231,2025-03-31,Jaipur,Points Enthusiast,18-24
U0232,2025-11-16,Hyderabad,Frequent Traveler,18-24
U0233,2026-07-04,Pune,Frequent Traveler,25-34
U0234,2025-05-19,Jaipur,Frequent Traveler,35-44
U0235,2026-05-26,Delhi,Premium Cardholder,25-34
U0236,2025-09-16,Pune,Points Enthusiast,25-34
U0237,2025-01-10,Jaipur,Premium Cardholder,35-44
U0238,2025-09-18,Pune,Premium Cardholder,18-24
U0239,2025-06-21,Hyderabad,Points Enthusiast,25-34
U0240,2025-01-13,Delhi,Premium Cardholder,45+
U0241,2025-06-17,Chennai,Casual Traveler,25-34
U0242,2026-08-19,Chennai,Casual Traveler,25-34
U0243,2025-11-17,Hyderabad,Casual Traveler,25-34
U0244,2025-11-15,Kolkata,Frequent Traveler,25-34
U0245,2025-11-25,Delhi,Premium Cardholder,25-34
U0246,2026-07-04,Mumbai,Casual Traveler,18-24
U0247,2026-02-23,Jaipur,Frequent Traveler,18-24
U0248,2025-04-05,Delhi,Casual Traveler,18-24
U0249,2026-08-04,Kolkata,Casual Traveler,45+
U0250,2025-11-14,Kolkata,Casual Traveler,35-44
U0251,2025-08-24,Hyderabad,Premium Cardholder,18-24
U0252,2025-11-30,Pune,Frequent Traveler,25-34
U0253,2026-01-11,Delhi,Casual Traveler,35-44
U0254,2026-04-04,Jaipur,Premium Cardholder,18-24
U0255,2025-05-17,Delhi,Premium Cardholder,25-34
U0256,2026-08-11,Bengaluru,Frequent Traveler,45+
U0257,2026-07-01,Pune,Casual Traveler,25-34
U0258,2026-05-28,Jaipur,Points Enthusiast,35-44
U0259,2025-10-23,Chennai,Frequent Traveler,45+
U0260,2025-11-16,Jaipur,Premium Cardholder,25-34
U0261,2026-07-26,Mumbai,Points Enthusiast,18-24
U0262,2025-12-15,Hyderabad,Casual Traveler,25-34
U0263,2025-08-17,Mumbai,Premium Cardholder,35-44
U0264,2025-09-27,Jaipur,Frequent Traveler,35-44
U0265,2025-10-18,Pune,Casual Traveler,35-44
U0266,2025-06-14,Delhi,Points Enthusiast,18-24
U0267,2025-01-05,Chennai,Points Enthusiast,35-44
U0268,2026-01-14,Delhi,Points Enthusiast,45+
U0269,2025-03-19,Pune,Frequent Traveler,35-44
U0270,2026-02-14,Jaipur,Premium Cardholder,45+
U0271,2026-07-28,Kolkata,Casual Traveler,35-44
U0272,2025-05-12,Delhi,Casual Traveler,35-44
U0273,2025-02-11,Kolkata,Casual Traveler,25-34
U0274,2025-03-30,Delhi,Casual Traveler,25-34
U0275,2026-02-06,Delhi,Frequent Traveler,18-24
U0276,2025-10-23,Chennai,Frequent Traveler,35-44
U0277,2025-10-22,Hyderabad,Points Enthusiast,25-34
U0278,2026-06-10,Hyderabad,Points Enthusiast,35-44
U0279,2026-02-26,Bengaluru,Points Enthusiast,45+
U0280,2025-01-23,Mumbai,Points Enthusiast,35-44
U0281,2026-07-29,Pune,Casual Traveler,18-24
U0282,2025-05-23,Pune,Premium Cardholder,25-34
U0283,2025-05-25,Pune,Frequent Traveler,18-24
U0284,2025-08-13,Bengaluru,Premium Cardholder,35-44
U0285,2026-05-18,Hyderabad,Frequent Traveler,35-44
U0286,2025-04-14,Jaipur,Premium Cardholder,45+
U0287,2025-02-08,Kolkata,Frequent Traveler,25-34
U0288,2025-07-17,Chennai,Frequent Traveler,45+
U0289,2026-08-02,Kolkata,Premium Cardholder,35-44
U0290,2026-01-26,Jaipur,Frequent Traveler,25-34
U0291,2025-06-28,Chennai,Premium Cardholder,35-44
U0292,2026-07-08,Bengaluru,Premium Cardholder,25-34
U0293,2026-03-24,Jaipur,Casual Traveler,25-34
U0294,2026-05-15,Pune,Frequent Traveler,35-44
U0295,2025-01-15,Mumbai,Premium Cardholder,25-34
U0296,2025-10-16,Delhi,Frequent Traveler,35-44
U0297,2026-04-23,Kolkata,Points Enthusiast,35-44
U0298,2025-08-19,Hyderabad,Premium Cardholder,25-34
U0299,2026-02-24,Hyderabad,Points Enthusiast,25-34
U0300,2025-06-06,Bengaluru,Premium Cardholder,25-34
U0301,2026-07-04,Chennai,Premium Cardholder,25-34
U0302,2026-03-17,Hyderabad,Frequent Traveler,25-34
U0303,2025-04-07,Pune,Frequent Traveler,25-34
U0304,2026-02-15,Kolkata,Points Enthusiast,18-24
U0305,2025-10-16,Jaipur,Points Enthusiast,25-34
U0306,2025-09-11,Pune,Casual Traveler,18-24
U0307,2025-07-15,Bengaluru,Frequent Traveler,35-44
U0308,2026-08-21,Pune,Premium Cardholder,35-44
U0309,2026-06-06,Jaipur,Points Enthusiast,25-34
U0310,2026-06-01,Mumbai,Premium Cardholder,25-34
U0311,2025-04-28,Bengaluru,Frequent Traveler,45+
U0312,2025-06-08,Mumbai,Premium Cardholder,35-44
U0313,2025-08-16,Delhi,Premium Cardholder,45+
U0314,2025-08-04,Mumbai,Casual Traveler,35-44
U0315,2025-01-15,Delhi,Casual Traveler,18-24
U0316,2025-06-06,Delhi,Points Enthusiast,18-24
U0317,2025-09-18,Mumbai,Frequent Traveler,25-34
U0318,2025-06-06,Bengaluru,Premium Cardholder,25-34
U0319,2025-02-16,Chennai,Premium Cardholder,25-34
U0320,2025-11-20,Jaipur,Premium Cardholder,25-34
U0321,2025-05-10,Pune,Frequent Traveler,25-34
U0322,2026-02-15,Pune,Points Enthusiast,35-44
U0323,2025-04-05,Jaipur,Points Enthusiast,35-44
U0324,2025-10-19,Kolkata,Premium Cardholder,25-34
U0325,2025-10-10,Kolkata,Casual Traveler,35-44
U0326,2025-03-10,Delhi,Points Enthusiast,25-34
U0327,2025-01-11,Delhi,Frequent Traveler,45+
U0328,2025-09-11,Bengaluru,Points Enthusiast,18-24
U0329,2026-07-04,Hyderabad,Frequent Traveler,45+
U0330,2025-05-14,Mumbai,Premium Cardholder,35-44
U0331,2025-01-23,Delhi,Frequent Traveler,25-34
U0332,2025-12-12,Pune,Points Enthusiast,25-34
U0333,2025-10-29,Bengaluru,Premium Cardholder,25-34
U0334,2025-12-29,Mumbai,Premium Cardholder,25-34
U0335,2026-01-31,Bengaluru,Premium Cardholder,18-24
U0336,2025-08-06,Mumbai,Premium Cardholder,35-44
U0337,2025-05-21,Mumbai,Casual Traveler,25-34
U0338,2025-07-29,Jaipur,Points Enthusiast,35-44
U0339,2026-04-05,Delhi,Frequent Traveler,45+
U0340,2025-12-22,Chennai,Premium Cardholder,25-34
U0341,2025-11-20,Bengaluru,Frequent Traveler,25-34
U0342,2025-05-13,Chennai,Frequent Traveler,18-24
U0343,2025-05-07,Bengaluru,Premium Cardholder,35-44
U0344,2025-04-16,Jaipur,Frequent Traveler,25-34
U0345,2026-01-13,Pune,Frequent Traveler,45+
U0346,2025-02-20,Chennai,Points Enthusiast,35-44
U0347,2025-01-29,Pune,Points Enthusiast,25-34
U0348,2026-04-07,Kolkata,Premium Cardholder,18-24
U0349,2025-10-23,Delhi,Frequent Traveler,35-44
U0350,2025-10-24,Delhi,Points Enthusiast,35-44
U0351,2026-02-11,Hyderabad,Frequent Traveler,25-34
U0352,2026-02-09,Jaipur,Casual Traveler,25-34
U0353,2025-12-12,Pune,Points Enthusiast,35-44
U0354,2026-02-24,Mumbai,Premium Cardholder,25-34
U0355,2025-07-01,Bengaluru,Premium Cardholder,45+
U0356,2025-01-01,Delhi,Points Enthusiast,25-34
U0357,2026-07-21,Chennai,Premium Cardholder,18-24
U0358,2026-01-06,Bengaluru,Frequent Traveler,35-44
U0359,2026-03-07,Bengaluru,Casual Traveler,25-34
U0360,2025-11-05,Hyderabad,Frequent Traveler,25-34
U0361,2025-05-17,Pune,Frequent Traveler,18-24
U0362,2025-07-21,Delhi,Points Enthusiast,18-24
U0363,2026-03-12,Bengaluru,Frequent Traveler,35-44
U0364,2025-11-09,Delhi,Frequent Traveler,25-34
U0365,2025-04-27,Mumbai,Casual Traveler,25-34
U0366,2026-07-29,Hyderabad,Frequent Traveler,35-44
U0367,2025-09-01,Mumbai,Casual Traveler,35-44
U0368,2026-06-21,Delhi,Casual Traveler,18-24
U0369,2025-03-16,Kolkata,Premium Cardholder,25-34
U0370,2026-01-21,Chennai,Premium Cardholder,45+
U0371,2025-07-29,Delhi,Premium Cardholder,35-44
U0372,2026-04-20,Pune,Premium Cardholder,25-34
U0373,2026-02-22,Bengaluru,Premium Cardholder,25-34
U0374,2025-12-13,Bengaluru,Points Enthusiast,25-34
U0375,2026-06-13,Mumbai,Premium Cardholder,35-44
U0376,2025-06-28,Chennai,Premium Cardholder,35-44
U0377,2025-07-01,Hyderabad,Casual Traveler,35-44
U0378,2025-01-25,Kolkata,Premium Cardholder,35-44
U0379,2025-06-29,Jaipur,Casual Traveler,35-44
U0380,2026-05-16,Chennai,Premium Cardholder,18-24
U0381,2025-06-10,Bengaluru,Premium Cardholder,25-34
U0382,2025-06-26,Pune,Points Enthusiast,18-24
U0383,2025-10-12,Chennai,Points Enthusiast,25-34
U0384,2025-03-04,Mumbai,Casual Traveler,35-44
U0385,2025-06-05,Mumbai,Points Enthusiast,25-34
U0386,2026-04-14,Jaipur,Casual Traveler,25-34
U0387,2025-02-18,Pune,Premium Cardholder,18-24
U0388,2025-03-25,Hyderabad,Premium Cardholder,25-34
U0389,2025-12-27,Chennai,Points Enthusiast,25-34
U0390,2025-05-28,Pune,Casual Traveler,25-34
U0391,2025-12-08,Hyderabad,Casual Traveler,35-44
U0392,2026-04-21,Pune,Frequent Traveler,25-34
U0393,2025-03-04,Pune,Frequent Traveler,35-44
U0394,2025-12-26,Delhi,Points Enthusiast,18-24
U0395,2026-07-15,Mumbai,Premium Cardholder,18-24
U0396,2025-11-23,Chennai,Casual Traveler,25-34
U0397,2025-05-21,Pune,Casual Traveler,25-34
U0398,2025-08-03,Chennai,Frequent Traveler,35-44
U0399,2026-03-11,Jaipur,Points Enthusiast,25-34
U0400,2025-11-14,Pune,Points Enthusiast,25-34
U0401,2025-02-01,Bengaluru,Premium Cardholder,35-44
U0402,2025-10-12,Mumbai,Casual Traveler,18-24
U0403,2025-11-01,Bengaluru,Frequent Traveler,25-34
U0404,2026-03-05,Chennai,Casual Traveler,35-44
U0405,2026-04-22,Chennai,Premium Cardholder,35-44
U0406,2025-10-13,Mumbai,Casual Traveler,25-34
U0407,2025-05-24,Chennai,Frequent Traveler,45+
U0408,2026-02-28,Bengaluru,Premium Cardholder,35-44
U0409,2025-01-19,Pune,Casual Traveler,25-34
U0410,2025-01-18,Pune,Premium Cardholder,35-44
U0411,2026-08-13,Delhi,Premium Cardholder,25-34
U0412,2026-01-06,Jaipur,Casual Traveler,25-34
U0413,2025-06-24,Chennai,Casual Traveler,25-34
U0414,2025-07-13,Bengaluru,Frequent Traveler,25-34
U0415,2026-05-17,Chennai,Points Enthusiast,35-44
U0416,2025-04-23,Chennai,Frequent Traveler,25-34
U0417,2025-04-24,Hyderabad,Premium Cardholder,35-44
U0418,2025-08-10,Delhi,Premium Cardholder,35-44
U0419,2025-09-21,Bengaluru,Points Enthusiast,18-24
U0420,2025-02-24,Bengaluru,Points Enthusiast,35-44
U0421,2026-04-03,Chennai,Points Enthusiast,25-34
U0422,2025-06-11,Delhi,Points Enthusiast,25-34
U0423,2026-01-15,Pune,Premium Cardholder,35-44
U0424,2025-03-28,Bengaluru,Frequent Traveler,25-34
U0425,2025-02-24,Pune,Premium Cardholder,25-34
U0426,2026-04-21,Delhi,Frequent Traveler,25-34
U0427,2025-06-27,Pune,Frequent Traveler,18-24
U0428,2026-01-26,Mumbai,Casual Traveler,25-34
U0429,2025-12-15,Hyderabad,Frequent Traveler,25-34
U0430,2025-01-08,Kolkata,Premium Cardholder,45+
U0431,2025-11-09,Bengaluru,Premium Cardholder,25-34
U0432,2026-03-19,Jaipur,Points Enthusiast,25-34
U0433,2025-11-24,Hyderabad,Points Enthusiast,25-34
U0434,2025-02-23,Kolkata,Premium Cardholder,18-24
U0435,2025-08-27,Pune,Premium Cardholder,45+
U0436,2025-08-17,Bengaluru,Points Enthusiast,35-44
U0437,2026-08-02,Pune,Premium Cardholder,35-44
U0438,2025-02-20,Mumbai,Casual Traveler,18-24
U0439,2025-09-21,Delhi,Points Enthusiast,25-34
U0440,2026-02-22,Bengaluru,Premium Cardholder,25-34
U0441,2025-04-06,Kolkata,Premium Cardholder,35-44
U0442,2025-03-29,Kolkata,Casual Traveler,18-24
U0443,2025-03-19,Mumbai,Frequent Traveler,25-34
U0444,2025-10-15,Mumbai,Frequent Traveler,45+
U0445,2025-04-30,Chennai,Casual Traveler,25-34
U0446,2026-05-06,Bengaluru,Casual Traveler,25-34
U0447,2026-03-28,Pune,Casual Traveler,18-24
U0448,2026-05-15,Jaipur,Points Enthusiast,45+
U0449,2025-06-14,Kolkata,Frequent Traveler,18-24
U0450,2025-07-01,Kolkata,Premium Cardholder,35-44
U0451,2026-04-14,Mumbai,Points Enthusiast,35-44
U0452,2025-01-07,Hyderabad,Frequent Traveler,25-34
U0453,2025-11-26,Mumbai,Frequent Traveler,35-44
U0454,2025-05-31,Jaipur,Casual Traveler,18-24
U0455,2025-03-26,Pune,Premium Cardholder,25-34
U0456,2025-05-27,Pune,Frequent Traveler,35-44
U0457,2026-01-16,Hyderabad,Premium Cardholder,35-44
U0458,2026-07-02,Kolkata,Frequent Traveler,35-44
U0459,2025-10-12,Mumbai,Premium Cardholder,25-34
U0460,2025-03-23,Chennai,Premium Cardholder,18-24
U0461,2026-05-29,Pune,Premium Cardholder,18-24
U0462,2026-06-07,Jaipur,Points Enthusiast,18-24
U0463,2026-01-21,Bengaluru,Points Enthusiast,25-34
U0464,2026-04-16,Delhi,Frequent Traveler,25-34
U0465,2025-04-29,Delhi,Casual Traveler,25-34
U0466,2026-01-31,Delhi,Frequent Traveler,25-34
U0467,2026-06-16,Chennai,Premium Cardholder,25-34
U0468,2025-09-18,Kolkata,Casual Traveler,25-34
U0469,2025-09-13,Mumbai,Premium Cardholder,35-44
U0470,2025-08-14,Hyderabad,Casual Traveler,25-34
U0471,2025-02-22,Chennai,Premium Cardholder,45+
U0472,2026-05-15,Chennai,Casual Traveler,35-44
U0473,2026-05-21,Pune,Premium Cardholder,18-24
U0474,2025-12-30,Bengaluru,Casual Traveler,35-44
U0475,2025-10-07,Chennai,Frequent Traveler,25-34
