account_id,user_id,program,points_balance,account_type
A00145,U0282,HSBC Rewards,90076,Credit Card
A00146,U0196,United MileagePlus,43402,Airline Loyalty
A00147,U0034,ICICI Rewards,43578,Credit Card
A00148,U0052,Amex Membership Rewards,95453,Credit Card
A00149,U0112,United MileagePlus,158390,Airline Loyalty
A00150,U0252,United MileagePlus,80715,Credit Card
A00151,U0082,HSBC Rewards,116435,Credit Card
A00152,U0232,HSBC Rewards,156538,Credit Card
A00153,U0227,Flying Blue,100742,Airline Loyalty
A00154,U0233,Axis EDGE,50475,Credit Card
A00155,U0221,United MileagePlus,65142,Airline Loyalty
A00156,U0436,Aeroplan,162636,Airline Loyalty
A00157,U0413,United MileagePlus,158484,Credit Card
A00158,U0422,Flying Blue,98526,Airline Loyalty
A00159,U0042,Etihad Guest,56001,Credit Card
A00160,U0021,HDFC Rewards,62649,Credit Card
A00161,U0042,Amex Membership Rewards,171589,Airline Loyalty
A00162,U0397,Axis EDGE,149228,Airline Loyalty
A00163,U0113,ICICI Rewards,159136,Credit Card
A00164,U0105,ICICI Rewards,30711,Credit Card
A00165,U0192,ICICI Rewards,35106,Credit Card
A00166,U0017,HSBC Rewards,70458,Airline Loyalty
A00167,U0120,ICICI Rewards,152661,Credit Card
A00168,U0393,Amex Membership Rewards,135429,Credit Card
A00169,U0425,HDFC Rewards,106754,Credit Card
A00170,U0129,ICICI Rewards,143286,Credit Card
A00171,U0130,United MileagePlus,131479,Airline Loyalty
A00172,U0060,United MileagePlus,163199,Credit Card
A00173,U0048,HSBC Rewards,141213,Airline Loyalty
A00174,U0029,Amex Membership Rewards,33884,Credit Card
A00175,U0097,HDFC Rewards,7708,Airline Loyalty
A00176,U0010,Axis EDGE,23375,Credit Card
A00177,U0242,Flying Blue,20088,Credit Card
A00178,U0314,HDFC Rewards,62615,Credit Card
A00179,U0444,Flying Blue,115138,Credit Card
A00180,U0232,Etihad Guest,15014,Credit Card
A00181,U0277,Flying Blue,139345,Airline Loyalty
A00182,U0284,Aeroplan,107842,Airline Loyalty
A00183,U0203,United MileagePlus,166953,Credit Card
A00184,U0247,Amex Membership Rewards,83077,Credit Card
A00185,U0290,HSBC Rewards,144784,Credit Card
A00186,U0264,Aeroplan,57874,Credit Card
A00187,U0443,Flying Blue,74087,Airline Loyalty
A00188,U0214,ICICI Rewards,17297,Airline Loyalty
A00189,U0200,Amex Membership Rewards,32128,Credit Card
A00190,U0433,Aeroplan,73368,Credit Card
A00191,U0079,HSBC Rewards,83958,Credit Card
A00192,U0401,United MileagePlus,37920,Airline Loyalty
A00193,U0444,Amex Membership Rewards,147228,Credit Card
A00194,U0343,HSBC Rewards,147180,Airline Loyalty
A00195,U0344,Etihad Guest,167917,Airline Loyalty
A00196,U0173,Etihad Guest,138872,Credit Card
A00197,U0467,HSBC Rewards,178784,Airline Loyalty
A00198,U0069,Aeroplan,138682,Credit Card
A00199,U0416,Amex Membership Rewards,82603,Airline Loyalty
A00200,U0428,Aeroplan,38872,Credit Card
A00201,U0449,Axis EDGE,15728,Credit Card
A00202,U0087,Flying Blue,100102,Airline Loyalty
A00203,U0101,Axis EDGE,127049,Airline Loyalty
A00204,U0008,Etihad Guest,25583,Airline Loyalty
A00205,U0333,United MileagePlus,90774,Credit Card
A00206,U0200,HDFC Rewards,143335,Airline Loyalty
A00207,U0087,Flying Blue,131374,Credit Card
A00208,U0043,Etihad Guest,155528,Airline Loyalty
A00209,U0385,Aeroplan,96118,Credit Card
A00210,U0109,Aeroplan,70942,Airline Loyalty
A00211,U0435,Aeroplan,18689,Airline Loyalty
A00212,U0408,United MileagePlus,169006,Airline Loyalty
A00213,U0483,Axis EDGE,38276,Credit Card
A00214,U0152,HDFC Rewards,106968,Credit Card
A00215,U0017,Aeroplan,155945,Airline Loyalty
A00216,U0133,Flying Blue,18050,Credit Card
A00217,U0148,Amex Membership Rewards,71216,Airline Loyalty
A00218,U0277,HDFC Rewards,89040,Credit Card
A00219,U0232,United MileagePlus,26644,Credit Card
A00220,U0314,HDFC Rewards,67021,Airline Loyalty
A00221,U0415,Amex Membership Rewards,173197,Credit Card
A00222,U0366,Flying Blue,47291,Credit Card
A00223,U0228,Amex Membership Rewards,171132,Credit Card
A00224,U0139,HSBC Rewards,137610,Credit Card
A00225,U0436,Flying Blue,172248,Airline Loyalty
A00226,U0399,HDFC Rewards,46520,Credit Card
A00227,U0211,Aeroplan,30675,Airline Loyalty
A00228,U0391,HDFC Rewards,154359,Airline Loyalty
A00229,U0499,HDFC Rewards,5174,Credit Card
A00230,U0028,Flying Blue,97268,Airline Loyalty
A00231,U0051,HSBC Rewards,39998,Credit Card
A00232,U0491,HDFC Rewards,148184,Credit Card
A00233,U0442,Etihad Guest,110410,Airline Loyalty
A00234,U0261,ICICI Rewards,80225,Credit Card
A00235,U0261,ICICI Rewards,49814,Credit Card
A00236,U0350,HDFC Rewards,90091,Credit Card
A00237,U0352,Aeroplan,55719,Credit Card
A00238,U0008,United MileagePlus,134887,Credit Card
A00239,U0320,United MileagePlus,38919,Airline Loyalty
A00240,U0138,Flying Blue,78155,Airline Loyalty
A00241,U0038,ICICI Rewards,76569,Credit Card
A00242,U0111,HDFC Rewards,46328,Credit Card
A00243,U0480,United MileagePlus,29618,Credit Card
A00244,U0368,HDFC Rewards,39675,Credit Card
A00245,U0220,Flying Blue,23919,Credit Card
A00246,U0337,ICICI Rewards,9173,Credit Card
A00247,U0223,Amex Membership Rewards,114369,Credit Card
A00248,U0136,Etihad Guest,31400,Credit Card
A00249,U0256,Etihad Guest,75305,Credit Card
A00250,U0360,United MileagePlus,173636,Airline Loyalty
A00251,U0409,Etihad Guest,93791,Airline Loyalty
A00252,U0329,Amex Membership Rewards,164034,Credit Card
A00253,U0450,HDFC Rewards,75533,Airline Loyalty
A00254,U0463,Flying Blue,108591,Airline Loyalty
A00255,U0434,Amex Membership Rewards,146650,Credit Card
A00256,U0451,Flying Blue,136060,Credit Card
A00257,U0049,Flying Blue,154696,Airline Loyalty
A00258,U0292,ICICI Rewards,44194,Airline Loyalty
A00259,U0382,HDFC Rewards,114903,Credit Card
A00260,U0324,Etihad Guest,136461,Airline Loyalty
A00261,U0078,ICICI Rewards,104303,Credit Card
A00262,U0105,Flying Blue,118903,Airline Loyalty
A00263,U0169,United MileagePlus,72391,Airline Loyalty
A00264,U0217,Etihad Guest,149866,Credit Card
A00265,U0378,Etihad Guest,63002,Airline Loyalty
A00266,U0119,HDFC Rewards,40531,Credit Card
A00267,U0190,HSBC Rewards,9986,Airline Loyalty
A00268,U0255,Axis EDGE,37298,Airline Loyalty
A00269,U0370,Axis EDGE,6481,Credit Card
A00270,U0266,Axis EDGE,61408,Airline Loyalty
A00271,U0149,HSBC Rewards,126950,Credit Card
A00272,U0164,HDFC Rewards,152907,Airline Loyalty
A00273,U0140,HSBC Rewards,130355,Credit Card
A00274,U0347,Axis EDGE,32798,Airline Loyalty
A00275,U0488,ICICI Rewards,96649,Credit Card
A00276,U0258,Amex Membership Rewards,69887,Airline Loyalty
A00277,U0374,Flying Blue,24477,Credit Card
A00278,U0269,HSBC Rewards,153338,Airline Loyalty
A00279,U0181,HDFC Rewards,132815,Airline Loyalty
A00280,U0160,HDFC Rewards,179598,Airline Loyalty
A00281,U0351,Amex Membership Rewards,132426,Airline Loyalty
A00282,U0400,United MileagePlus,147961,Airline Loyalty
A00283,U0288,Etihad Guest,29335,Credit Card
A00284,U0288,Axis EDGE,147326,Credit Card
A00285,U0380,United MileagePlus,91610,Credit Card
A00286,U0226,Axis EDGE,16442,Airline Loyalty
A00287,U0011,Amex Membership Rewards,51289,Airline Loyalty
A00288,U0010,Axis EDGE,58747,Credit Card
A00289,U0271,Amex Membership Rewards,42327,Airline Loyalty
A00290,U0273,Aeroplan,152271,Airline Loyalty
A00291,U0424,United MileagePlus,77827,Credit Card
A00292,U0402,United MileagePlus,111464,Credit Card
A00293,U0183,Etihad Guest,136184,Credit Card
A00294,U0457,Amex Membership Rewards,92051,Credit Card
A00295,U0153,HSBC Rewards,155653,Airline Loyalty
A00296,U0488,Aeroplan,64722,Credit Card
A00297,U0315,ICICI Rewards,97036,Credit Card
A00298,U0334,Axis EDGE,152595,Airline Loyalty
A00299,U0124,Aeroplan,71960,Airline Loyalty
A00300,U0473,Amex Membership Rewards,24552,Airline Loyalty
A00301,U0114,Flying Blue,146880,Credit Card
A00302,U0278,Axis EDGE,159692,Credit Card
A00303,U0500,HDFC Rewards,5887,Airline Loyalty
A00304,U0414,United MileagePlus,36802,Credit Card
A00305,U0468,Amex Membership Rewards,90024,Credit Card
A00306,U0213,HDFC Rewards,123639,Credit Card
A00307,U0172,Etihad Guest,123248,Credit Card
A00308,U0288,ICICI Rewards,86938,Credit Card
A00309,U0435,ICICI Rewards,127746,Credit Card
A00310,U0174,HDFC Rewards,31049,Credit Card
A00311,U0113,United MileagePlus,82789,Credit Card
A00312,U0376,Etihad Guest,89526,Airline Loyalty
A00313,U0405,Flying Blue,143918,Credit Card
A00314,U0483,United MileagePlus,51220,Airline Loyalty
A00315,U0122,Aeroplan,51163,Credit Card
A00316,U0032,ICICI Rewards,139837,Credit Card
A00317,U0222,Aeroplan,122126,Credit Card
A00318,U0119,Axis EDGE,86486,Credit Card
A00319,U0039,HSBC Rewards,80277,Credit Card
A00320,U0497,Amex Membership Rewards,109245,Credit Card
A00321,U0268,Etihad Guest,127332,Airline Loyalty
A00322,U0233,United MileagePlus,27931,Credit Card
A00323,U0431,ICICI Rewards,94116,Credit Card
A00324,U0018,Aeroplan,60633,Airline Loyalty
A00325,U0149,Axis EDGE,56913,Credit Card
A00326,U0397,Amex Membership Rewards,99776,Credit Card
A00327,U0149,Amex Membership Rewards,30991,Credit Card
A00328,U0126,United MileagePlus,109092,Airline Loyalty
A00329,U0392,Etihad Guest,146633,Credit Card
A00330,U0302,Flying Blue,152973,Credit Card
A00331,U0360,United MileagePlus,100556,Credit Card
A00332,U0238,Aeroplan,67875,Airline Loyalty
A00333,U0135,HSBC Rewards,161989,Credit Card
A00334,U0151,HDFC Rewards,67120,Airline Loyalty
A00335,U0236,Flying Blue,138060,Credit Card
A00336,U0224,Etihad Guest,115041,Airline Loyalty
A00337,U0203,Axis EDGE,133467,Airline Loyalty
A00338,U0256,Flying Blue,150328,Credit Card
A00339,U0086,ICICI Rewards,123490,Credit Card
A00340,U0150,Etihad Guest,131155,Credit Card
A00341,U0235,HSBC Rewards,33230,Credit Card
A00342,U0345,ICICI Rewards,64778,Airline Loyalty
A00343,U0022,Flying Blue,50833,Credit Card
A00344,U0348,HDFC Rewards,27625,Credit Card
A00345,U0285,HDFC Rewards,37088,Credit Card
A00346,U0269,HSBC Rewards,177239,Airline Loyalty
A00347,U0466,Amex Membership Rewards,108937,Credit Card
A00348,U0258,Axis EDGE,81361,Credit Card
A00349,U0029,Amex Membership Rewards,93229,Credit Card
A00350,U0213,HDFC Rewards,140189,Airline Loyalty
A00351,U0463,HDFC Rewards,95265,Airline Loyalty
A00352,U0436,Aeroplan,102718,Credit Card
A00353,U0283,ICICI Rewards,65710,Credit Card
A00354,U0050,Flying Blue,99876,Credit Card
A00355,U0095,Axis EDGE,35949,Credit Card
A00356,U0463,HSBC Rewards,158619,Airline Loyalty
A00357,U0499,Flying Blue,73136,Airline Loyalty
A00358,U0407,Aeroplan,116541,Credit Card
A00359,U0088,HDFC Rewards,66842,Airline Loyalty
A00360,U0044,HSBC Rewards,31990,Credit Card
A00361,U0461,HDFC Rewards,152265,Airline Loyalty
A00362,U0278,Axis EDGE,35109,Airline Loyalty
A00363,U0171,ICICI Rewards,135356,Credit Card
A00364,U0421,Flying Blue,155305,Airline Loyalty
A00365,U0189,Flying Blue,133133,Credit Card
A00366,U0353,Amex Membership Rewards,170582,Credit Card
A00367,U0184,HSBC Rewards,6306,Credit Card
A00368,U0003,Aeroplan,8849,Credit Card
A00369,U0191,Amex Membership Rewards,17360,Airline Loyalty
A00370,U0118,Axis EDGE,116072,Airline Loyalty
A00371,U0019,Aeroplan,99767,Credit Card
A00372,U0023,ICICI Rewards,173035,Airline Loyalty
A00373,U0413,ICICI Rewards,59330,Airline Loyalty
A00374,U0030,ICICI Rewards,56707,Credit Card
A00375,U0295,ICICI Rewards,23689,Credit Card
A00376,U0108,Amex Membership Rewards,34084,Credit Card
A00377,U0367,Etihad Guest,45387,Airline Loyalty
A00378,U0281,Aeroplan,79816,Airline Loyalty
A00379,U0128,HSBC Rewards,7642,Credit Card
A00380,U0229,Axis EDGE,47137,Airline Loyalty
A00381,U0111,United MileagePlus,67260,Airline Loyalty
A00382,U0136,HDFC Rewards,151510,Credit Card
A00383,U0362,HSBC Rewards,53442,Credit Card
A00384,U0186,HDFC Rewards,108061,Credit Card
A00385,U0144,Aeroplan,139066,Credit Card
A00386,U0072,HSBC Rewards,130844,Credit Card
A00387,U0129,ICICI Rewards,104575,Credit Card
A00388,U0364,ICICI Rewards,6813,Credit Card
A00389,U0261,United MileagePlus,98027,Credit Card
A00390,U0003,HDFC Rewards,128489,Airline Loyalty
A00391,U0449,Axis EDGE,89381,Credit Card
A00392,U0388,Aeroplan,60276,Airline Loyalty
A00393,U0104,ICICI Rewards,46243,Credit Card
A00394,U0483,Etihad Guest,65272,Credit Card
A00395,U0224,Amex Membership Rewards,178123,Airline Loyalty
A00396,U0320,Amex Membership Rewards,70618,Credit Card
A00397,U0362,Axis EDGE,6920,Credit Card
A00398,U0354,Amex Membership Rewards,111121,Airline Loyalty
A00399,U0491,HDFC Rewards,81872,Credit Card
A00400,U0473,ICICI Rewards,86132,Credit Card
A00401,U0010,ICICI Rewards,7093,Credit Card
A00402,U0405,Etihad Guest,17905,Credit Card
A00403,U0384,HSBC Rewards,126759,Credit Card
A00404,U0302,Amex Membership Rewards,160423,Credit Card
A00405,U0231,HDFC Rewards,35981,Airline Loyalty
A00406,U0219,Flying Blue,78903,Airline Loyalty
A00407,U0411,Amex Membership Rewards,75821,Airline Loyalty
A00408,U0066,Axis EDGE,114200,Credit Card
A00409,U0425,HSBC Rewards,87289,Airline Loyalty
A00410,U0112,Amex Membership Rewards,121506,Credit Card
A00411,U0013,HDFC Rewards,83513,Airline Loyalty
A00412,U0393,Amex Membership Rewards,155946,Airline Loyalty
A00413,U0500,Axis EDGE,143746,Airline Loyalty
A00414,U0420,Flying Blue,55516,Credit Card
A00415,U0086,Aeroplan,74212,Credit Card
A00416,U0234,United MileagePlus,138498,Credit Card
A00417,U0090,Flying Blue,135970,Airline Loyalty
A00418,U0314,Amex Membership Rewards,95009,Credit Card
A00419,U0054,ICICI Rewards,166015,Airline Loyalty
A00420,U0012,Etihad Guest,49816,Credit Card
A00421,U0209,ICICI Rewards,9138,Credit Card
A00422,U0462,Flying Blue,96176,Credit Card
A00423,U0014,ICICI Rewards,80945,Credit Card
A00424,U0121,HDFC Rewards,9017,Credit Card
A00425,U0418,ICICI Rewards,15451,Credit Card
A00426,U0437,HSBC Rewards,98863,Airline Loyalty
A00427,U0377,Aeroplan,15278,Credit Card
A00428,U0020,Amex Membership Rewards,48764,Credit Card
A00429,U0075,ICICI Rewards,128030,Airline Loyalty
A00430,U0400,Axis EDGE,137206,Airline Loyalty
A00431,U0243,Aeroplan,67943,Airline Loyalty
A00432,U0223,Aeroplan,100667,Credit Card
A00433,U0070,ICICI Rewards,59318,Airline Loyalty
A00434,U0312,Aeroplan,108423,Airline Loyalty
A00435,U0211,Etihad Guest,108998,Credit Card
A00436,U0101,ICICI Rewards,65128,Credit Card
A00437,U0186,HDFC Rewards,26869,Credit Card
A00438,U0132,Flying Blue,10039,Credit Card
A00439,U0111,HSBC Rewards,157353,Airline Loyalty
A00440,U0381,United MileagePlus,117935,Credit Card
A00441,U0132,Aeroplan,15442,Airline Loyalty
A00442,U0020,HDFC Rewards,78788,Credit Card
A00443,U0394,Amex Membership Rewards,124729,Credit Card
A00444,U0024,Amex Membership Rewards,32586,Credit Card
A00445,U0227,HSBC Rewards,58053,Credit Card
A00446,U0154,Aeroplan,91346,Airline Loyalty
A00447,U0293,Etihad Guest,72087,Airline Loyalty
A00448,U0230,HSBC Rewards,148697,Credit Card
A00449,U0469,Aeroplan,39397,Credit Card
A00450,U0310,HDFC Rewards,63671,Credit Card
A00451,U0488,Flying Blue,121214,Airline Loyalty
A00452,U0359,Etihad Guest,71897,Credit Card
A00453,U0405,United MileagePlus,162221,Credit Card
A00454,U0202,Amex Membership Rewards,141355,Credit Card
A00455,U0038,Axis EDGE,143682,Airline Loyalty
A00456,U0430,HDFC Rewards,179398,Credit Card
A00457,U0260,Amex Membership Rewards,19924,Credit Card
A00458,U0188,ICICI Rewards,118143,Airline Loyalty
A00459,U0057,Axis EDGE,115253,Credit Card
A00460,U0429,Amex Membership Rewards,105297,Credit Card
A00461,U0020,HSBC Rewards,5869,Airline Loyalty
A00462,U0273,Etihad Guest,102088,Airline Loyalty
A00463,U0119,Amex Membership Rewards,6014,Credit Card
A00464,U0071,United MileagePlus,15103,Credit Card
A00465,U0004,Flying Blue,115317,Credit Card
A00466,U0221,HSBC Rewards,169530,Airline Loyalty
A00467,U0014,HDFC Rewards,87409,Credit Card
A00468,U0003,HDFC Rewards,28248,Airline Loyalty
A00469,U0216,HDFC Rewards,179588,Airline Loyalty
A00470,U0229,HDFC Rewards,165133,Credit Card
A00471,U0336,Flying Blue,160242,Airline Loyalty
A00472,U0186,Amex Membership Rewards,13024,Airline Loyalty
A00473,U0055,Aeroplan,90947,Credit Card
A00474,U0500,Amex Membership Rewards,179875,Credit Card
A00475,U0388,ICICI Rewards,155368,Credit Card
A00476,U0376,Etihad Guest,96829,Airline Loyalty
A00477,U0254,Axis EDGE,97708,Airline Loyalty
A00478,U0024,Aeroplan,91664,Credit Card
A00479,U0162,Aeroplan,154329,Airline Loyalty
A00480,U0158,Amex Membership Rewards,148927,Credit Card
A00481,U0082,Aeroplan,90178,Credit Card
A00482,U0403,ICICI Rewards,106121,Credit Card
A00483,U0159,Axis EDGE,25025,Credit Card
A00484,U0188,United MileagePlus,140530,Credit Card
A00485,U0060,Flying Blue,68610,Credit Card
A00486,U0403,Amex Membership Rewards,75843,Credit Card
A00487,U0305,Flying Blue,112237,Airline Loyalty
A00488,U0319,United MileagePlus,179499,Credit Card
A00489,U0366,Amex Membership Rewards,135299,Credit Card
A00490,U0211,Amex Membership Rewards,174578,Credit Card
A00491,U0406,Axis EDGE,10668,Airline Loyalty
A00492,U0152,Flying Blue,78233,Credit Card
A00493,U0109,HDFC Rewards,160489,Credit Card
A00494,U0076,Flying Blue,86982,Airline Loyalty
A00495,U0030,Etihad Guest,111133,Credit Card
A00496,U0314,Etihad Guest,15751,Credit Card
A00497,U0486,Amex Membership Rewards,51218,Airline Loyalty
A00498,U0117,HDFC Rewards,131649,Credit Card
A00499,U0415,HSBC Rewards,12352,Credit Card
A00500,U0356,United MileagePlus,93835,Credit Card
A00501,U0192,ICICI Rewards,102493,Credit Card
A00502,U0019,HDFC Rewards,33927,Credit Card
A00503,U0432,ICICI Rewards,177166,Credit Card
A00504,U0173,Flying Blue,106948,Credit Card
A00505,U0228,Flying Blue,34493,Credit Card
A00506,U0350,ICICI Rewards,36707,Airline Loyalty
A00507,U0183,United MileagePlus,143368,Credit Card
A00508,U0113,HDFC Rewards,161470,Credit Card
A00509,U0183,HSBC Rewards,40842,Airline Loyalty
A00510,U0481,Amex Membership Rewards,18261,Airline Loyalty
A00511,U0146,Axis EDGE,81709,Credit Card
A00512,U0319,Flying Blue,100985,Airline Loyalty
A00513,U0116,Etihad Guest,111616,Credit Card
A00514,U0113,United MileagePlus,72173,Credit Card
A00515,U0251,Axis EDGE,36781,Airline Loyalty
A00516,U0476,HSBC Rewards,18652,Credit Card
A00517,U0251,Aeroplan,10103,Credit Card
A00518,U0303,Amex Membership Rewards,30500,Credit Card
A00519,U0459,Flying Blue,105336,Credit Card
A00520,U0313,Amex Membership Rewards,171601,Credit Card
A00521,U0118,Axis EDGE,118499,Airline Loyalty
A00522,U0301,Amex Membership Rewards,154524,Credit Card
