search_id,user_id,origin,destination,search_date,travel_date,cabin,device
S000065,U0023,Delhi,Singapore,2026-02-27,2026-07-05,Economy,Mobile
S000066,U0106,Delhi,London,2026-08-21,2027-01-11,Business,Mobile
S000067,U0131,Delhi,Dubai,2026-05-05,2026-08-14,Business,Mobile
S000068,U0357,Delhi,London,2026-07-19,2026-08-19,Business,Mobile
S000069,U0477,Mumbai,Singapore,2026-04-23,2026-05-16,First,Desktop
S000070,U0173,Delhi,Dubai,2026-02-24,2026-08-19,Business,Mobile
S000071,U0264,Delhi,Dubai,2026-04-29,2026-06-03,Business,Mobile
S000072,U0342,Bengaluru,Dubai,2026-04-30,2026-07-12,Economy,Desktop
S000073,U0373,Delhi,Tokyo,2026-03-21,2026-06-20,Economy,Desktop
S000074,U0285,Delhi,Singapore,2026-02-11,2026-04-15,Business,Desktop
S000075,U0002,Hyderabad,Dubai,2026-01-21,2026-04-09,First,Desktop
S000076,U0233,Delhi,London,2026-01-10,2026-01-30,Business,Desktop
S000077,U0369,Mumbai,New York,2026-02-26,2026-04-12,Economy,Desktop
S000078,U0251,Mumbai,New York,2026-06-02,2026-10-30,Economy,Desktop
S000079,U0434,Delhi,Singapore,2026-02-25,2026-03-21,Business,Desktop
S000080,U0493,Delhi,Singapore,2026-02-07,2026-04-29,Business,Desktop
S000081,U0321,Delhi,Singapore,2026-03-27,2026-07-13,Business,Mobile
S000082,U0108,Delhi,Singapore,2026-04-23,2026-05-19,Business,Desktop
S000083,U0276,Delhi,Paris,2026-07-08,2026-11-08,Economy,Desktop
S000084,U0180,Delhi,Dubai,2026-04-22,2026-10-19,First,Desktop
S000085,U0213,Delhi,Dubai,2026-06-24,2026-10-25,Business,Mobile
S000086,U0293,Delhi,Dubai,2026-02-23,2026-08-21,Economy,Mobile
S000087,U0072,Mumbai,Dubai,2026-02-15,2026-02-25,Economy,Mobile
S000088,U0283,Mumbai,Singapore,2026-07-15,2026-10-13,First,Mobile
S000089,U0175,Delhi,Dubai,2026-01-04,2026-06-07,Business,Mobile
S000090,U0123,Delhi,Bangkok,2026-08-10,2027-01-02,Economy,Mobile
S000091,U0227,Mumbai,Dubai,2026-07-13,2026-11-10,Economy,Mobile
S000092,U0390,Delhi,Dubai,2026-08-09,2026-10-19,Economy,Mobile
S000093,U0444,Bengaluru,London,2026-06-20,2026-11-19,Economy,Desktop
S000094,U0301,Delhi,London,2026-03-03,2026-08-23,Business,Desktop
S000095,U0428,Mumbai,New York,2026-08-16,2026-10-05,Business,Mobile
S000096,U0083,Bengaluru,London,2026-08-01,2026-12-03,Business,Desktop
S000097,U0253,Mumbai,Dubai,2026-05-04,2026-08-18,Business,Mobile
S000098,U0146,Delhi,London,2026-05-08,2026-06-01,Economy,Mobile
S000099,U0120,Mumbai,London,2026-08-01,2027-01-13,Economy,Desktop
S000100,U0065,Delhi,London,2026-04-22,2026-09-03,Economy,Desktop
S000101,U0281,Delhi,Dubai,2026-03-26,2026-09-15,Economy,Desktop
S000102,U0283,Mumbai,Dubai,2026-01-04,2026-02-17,Economy,Mobile
S000103,U0391,Mumbai,Dubai,2026-03-06,2026-07-26,Business,Desktop
S000104,U0428,Mumbai,Singapore,2026-03-03,2026-06-21,Business,Mobile
S000105,U0106,Bengaluru,London,2026-03-31,2026-04-19,Business,Mobile
S000106,U0413,Delhi,New York,2026-04-30,2026-06-30,Business,Mobile
S000107,U0479,Delhi,Dubai,2026-05-10,2026-08-12,Business,Desktop
S000108,U0300,Delhi,Dubai,2026-05-17,2026-08-16,Business,Mobile
S000109,U0107,Delhi,Tokyo,2026-07-04,2026-10-27,Economy,Mobile
S000110,U0036,Delhi,New York,2026-02-14,2026-04-04,First,Desktop
S000111,U0147,Delhi,Bangkok,2026-05-26,2026-10-11,Economy,Mobile
S000112,U0262,Mumbai,London,2026-04-22,2026-07-08,Economy,Mobile
S000113,U0409,Mumbai,New York,2026-06-25,2026-07-13,Economy,Mobile
S000114,U0159,Mumbai,Singapore,2026-02-11,2026-04-17,First,Mobile
S000115,U0265,Mumbai,London,2026-02-10,2026-04-01,First,Desktop
S000116,U0468,Delhi,Singapore,2026-07-22,2026-08-13,Business,Desktop
S000117,U0202,Mumbai,Singapore,2026-03-30,2026-08-17,Business,Mobile
S000118,U0421,Delhi,Dubai,2026-08-06,2026-08-26,Business,Mobile
S000119,U0155,Mumbai,London,2026-07-05,2026-11-03,First,Desktop
S000120,U0013,Mumbai,Paris,2026-08-16,2026-12-12,Business,Mobile
S000121,U0297,Bengaluru,Dubai,2026-02-11,2026-06-20,First,Desktop
S000122,U0384,Mumbai,London,2026-02-04,2026-04-09,Economy,Mobile
S000123,U0322,Mumbai,Dubai,2026-06-15,2026-11-27,Economy,Mobile
S000124,U0498,Delhi,Dubai,2026-03-08,2026-08-30,Business,Tablet
S000125,U0085,Bengaluru,London,2026-02-10,2026-06-16,Economy,Desktop
S000126,U0481,Mumbai,London,2026-04-09,2026-05-20,First,Mobile
S000127,U0280,Hyderabad,Dubai,2026-02-19,2026-03-07,Economy,Mobile
S000128,U0245,Mumbai,London,2026-04-14,2026-07-10,First,Mobile
S000129,U0300,Delhi,Singapore,2026-03-27,2026-09-07,Economy,Mobile
S000130,U0362,Mumbai,New York,2026-07-19,2026-09-07,Business,Tablet
S000131,U0354,Mumbai,Paris,2026-03-20,2026-06-05,Economy,Desktop
S000132,U0316,Delhi,Singapore,2026-02-14,2026-03-10,Business,Mobile
S000133,U0009,Delhi,Singapore,2026-07-18,2026-10-15,Economy,Mobile
S000134,U0386,Hyderabad,Dubai,2026-05-27,2026-08-20,First,Desktop
S000135,U0247,Delhi,London,2026-08-20,2026-11-20,Business,Mobile
S000136,U0312,Delhi,Tokyo,2026-04-16,2026-10-06,Economy,Desktop
S000137,U0414,Delhi,Dubai,2026-05-25,2026-07-12,Business,Desktop
S000138,U0278,Mumbai,Paris,2026-07-12,2026-11-19,Economy,Desktop
S000139,U0238,Mumbai,New York,2026-08-25,2026-09-30,Economy,Desktop
S000140,U0203,Mumbai,London,2026-08-09,2026-09-04,Economy,Desktop
S000141,U0247,Delhi,Tokyo,2026-05-02,2026-09-11,Business,Tablet
S000142,U0235,Delhi,London,2026-03-18,2026-06-28,Economy,Mobile
S000143,U0081,Mumbai,Dubai,2026-02-25,2026-07-06,Economy,Desktop
S000144,U0356,Delhi,New York,2026-04-22,2026-06-09,First,Mobile
S000145,U0013,Mumbai,London,2026-04-03,2026-07-07,Business,Mobile
S000146,U0327,Mumbai,New York,2026-02-10,2026-05-14,Economy,Mobile
S000147,U0016,Delhi,London,2026-06-19,2026-06-30,Business,Desktop
S000148,U0481,Delhi,Dubai,2026-01-06,2026-03-03,Business,Mobile
S000149,U0045,Delhi,Dubai,2026-07-16,2026-09-01,Economy,Desktop
S000150,U0321,Delhi,Dubai,2026-04-08,2026-07-17,Business,Desktop
S000151,U0139,Delhi,Singapore,2026-07-22,2027-01-11,Business,Mobile
S000152,U0326,Delhi,Paris,2026-03-14,2026-05-16,Business,Desktop
S000153,U0148,Delhi,Tokyo,2026-08-18,2027-02-05,Economy,Desktop
S000154,U0355,Delhi,Bangkok,2026-06-17,2026-11-05,Business,Desktop
S000155,U0236,Delhi,Dubai,2026-02-10,2026-06-29,Economy,Mobile
S000156,U0191,Delhi,Singapore,2026-01-09,2026-03-07,Business,Desktop
S000157,U0101,Delhi,Dubai,2026-01-08,2026-04-30,Economy,Desktop
S000158,U0105,Mumbai,Dubai,2026-06-21,2026-11-10,Economy,Mobile
S000159,U0474,Mumbai,Singapore,2026-07-05,2026-07-22,Economy,Mobile
S000160,U0250,Delhi,London,2026-04-14,2026-09-17,Business,Mobile
S000161,U0396,Mumbai,Dubai,2026-07-14,2026-10-26,Economy,Desktop
S000162,U0446,Bengaluru,Dubai,2026-01-13,2026-04-28,Economy,Mobile
S000163,U0094,Delhi,Singapore,2026-01-19,2026-06-13,Economy,Mobile
S000164,U0220,Delhi,Singapore,2026-04-08,2026-07-19,Business,Desktop
S000165,U0475,Delhi,London,2026-04-06,2026-07-27,Economy,Mobile
S000166,U0298,Mumbai,Dubai,2026-02-18,2026-07-17,Business,Desktop
S000167,U0339,Delhi,Bangkok,2026-07-27,2027-01-15,Economy,Mobile
S000168,U0453,Delhi,Dubai,2026-04-10,2026-04-17,Economy,Mobile
S000169,U0442,Delhi,Singapore,2026-03-23,2026-05-14,Business,Mobile
S000170,U0133,Delhi,London,2026-07-25,2026-10-27,First,Desktop
S000171,U0361,Mumbai,Singapore,2026-06-07,2026-12-01,Economy,Desktop
S000172,U0155,Delhi,London,2026-03-07,2026-04-04,Economy,Desktop
S000173,U0028,Mumbai,Paris,2026-07-24,2026-08-02,Economy,Desktop
S000174,U0282,Delhi,Bangkok,2026-04-01,2026-08-27,Business,Mobile
S000175,U0475,Mumbai,Paris,2026-02-28,2026-07-14,Economy,Mobile
S000176,U0116,Mumbai,Dubai,2026-02-22,2026-04-30,Business,Mobile
S000177,U0305,Delhi,Bangkok,2026-02-21,2026-08-06,Economy,Desktop
S000178,U0234,Delhi,New York,2026-03-22,2026-05-05,Economy,Desktop
S000179,U0405,Mumbai,London,2026-06-08,2026-07-30,Economy,Mobile
S000180,U0001,Mumbai,New York,2026-01-15,2026-07-10,Business,Desktop
S000181,U0348,Delhi,London,2026-05-01,2026-09-18,Business,Tablet
S000182,U0240,Delhi,Dubai,2026-05-28,2026-07-14,Economy,Mobile
S000183,U0058,Delhi,Paris,2026-01-05,2026-06-13,First,Desktop
S000184,U0335,Mumbai,Dubai,2026-05-15,2026-10-07,Economy,Mobile
S000185,U0183,Delhi,New York,2026-01-18,2026-05-14,Business,Desktop
S000186,U0337,Mumbai,London,2026-02-25,2026-04-13,Business,Mobile
S000187,U0026,Delhi,Bangkok,2026-03-16,2026-05-18,Economy,Mobile
S000188,U0468,Bengaluru,Dubai,2026-04-06,2026-10-03,Business,Mobile
S000189,U0409,Delhi,Tokyo,2026-04-24,2026-08-31,Business,Tablet
S000190,U0077,Mumbai,Dubai,2026-08-07,2026-11-07,Economy,Desktop
S000191,U0417,Delhi,Dubai,2026-08-06,2026-10-14,Business,Mobile
S000192,U0217,Mumbai,Singapore,2026-04-11,2026-05-26,Economy,Tablet
S000193,U0328,Delhi,London,2026-06-22,2026-11-13,Business,Desktop
S000194,U0325,Delhi,London,2026-01-28,2026-07-17,Economy,Desktop
S000195,U0262,Delhi,New York,2026-02-19,2026-03-24,Business,Mobile
S000196,U0023,Mumbai,Singapore,2026-01-02,2026-03-30,Economy,Mobile
S000197,U0244,Hyderabad,Dubai,2026-07-31,2026-11-21,Economy,Desktop
S000198,U0158,Delhi,Dubai,2026-03-09,2026-04-20,Economy,Mobile
S000199,U0206,Mumbai,Dubai,2026-05-08,2026-08-07,Economy,Mobile
S000200,U0310,Delhi,Dubai,2026-03-18,2026-08-26,Economy,Mobile
S000201,U0087,Bengaluru,Dubai,2026-01-24,2026-07-18,Economy,Mobile
S000202,U0267,Mumbai,Paris,2026-04-22,2026-05-26,Business,Mobile
S000203,U0415,Delhi,Bangkok,2026-08-18,2026-09-09,Economy,Tablet
S000204,U0134,Delhi,Tokyo,2026-08-20,2026-09-30,Business,Mobile
S000205,U0267,Mumbai,Singapore,2026-06-25,2026-12-12,Business,Mobile
S000206,U0333,Delhi,Singapore,2026-06-22,2026-10-05,First,Mobile
S000207,U0268,Mumbai,London,2026-04-29,2026-09-29,First,Desktop
S000208,U0450,Delhi,New York,2026-08-09,2026-12-15,Business,Desktop
S000209,U0053,Delhi,Singapore,2026-07-05,2026-12-19,Business,Desktop
S000210,U0099,Delhi,Singapore,2026-02-05,2026-03-06,Economy,Mobile
S000211,U0247,Bengaluru,Dubai,2026-01-02,2026-05-07,Business,Mobile
S000212,U0036,Hyderabad,Dubai,2026-05-07,2026-07-15,First,Desktop
S000213,U0401,Mumbai,Paris,2026-04-15,2026-06-30,Economy,Desktop
S000214,U0028,Delhi,Paris,2026-01-18,2026-06-23,Business,Desktop
S000215,U0220,Bengaluru,London,2026-06-26,2026-09-20,Economy,Mobile
S000216,U0406,Delhi,Dubai,2026-01-08,2026-03-14,Business,Mobile
S000217,U0102,Delhi,London,2026-07-05,2026-12-11,Economy,Mobile
S000218,U0263,Bengaluru,London,2026-01-15,2026-02-07,Business,Desktop
S000219,U0271,Delhi,Paris,2026-08-21,2026-10-05,Business,Mobile
S000220,U0224,Delhi,London,2026-05-25,2026-08-16,First,Mobile
S000221,U0139,Bengaluru,Dubai,2026-01-23,2026-05-01,Business,Mobile
S000222,U0280,Delhi,London,2026-07-13,2027-01-02,Business,Mobile
S000223,U0451,Mumbai,Dubai,2026-07-17,2026-08-16,Economy,Mobile
S000224,U0286,Bengaluru,London,2026-04-03,2026-09-22,Economy,Mobile
S000225,U0454,Delhi,Dubai,2026-06-04,2026-09-06,Economy,Desktop
S000226,U0250,Delhi,London,2026-06-14,2026-08-03,Economy,Mobile
S000227,U0322,Mumbai,London,2026-02-18,2026-04-01,Economy,Mobile
S000228,U0317,Delhi,Paris,2026-03-05,2026-06-18,Business,Mobile
S000229,U0078,Delhi,Singapore,2026-02-03,2026-04-20,Business,Mobile
S000230,U0297,Bengaluru,London,2026-01-18,2026-05-26,Business,Desktop
S000231,U0338,Delhi,New York,2026-03-05,2026-07-13,Economy,Mobile
S000232,U0307,Delhi,London,2026-04-16,2026-07-11,Economy,Desktop
S000233,U0428,Hyderabad,Dubai,2026-03-15,2026-05-05,Business,Desktop
S000234,U0351,Delhi,London,2026-04-12,2026-09-19,Economy,Desktop
S000235,U0013,Hyderabad,Dubai,2026-06-21,2026-11-13,Economy,Mobile
S000236,U0346,Delhi,New York,2026-01-17,2026-06-25,Economy,Mobile
S000237,U0492,Hyderabad,Dubai,2026-07-06,2026-08-12,Economy,Desktop
S000238,U0396,Delhi,Dubai,2026-05-21,2026-08-20,Economy,Mobile
S000239,U0082,Mumbai,Singapore,2026-02-21,2026-04-13,Economy,Mobile
S000240,U0009,Delhi,Dubai,2026-07-07,2026-11-05,Economy,Desktop
S000241,U0497,Delhi,London,2026-08-28,2026-11-09,Business,Mobile
S000242,U0213,Mumbai,New York,2026-06-19,2026-09-09,Economy,Mobile
S000243,U0048,Delhi,Dubai,2026-08-07,2026-09-22,Economy,Desktop
S000244,U0049,Delhi,New York,2026-03-05,2026-09-01,Business,Tablet
S000245,U0309,Delhi,Dubai,2026-07-13,2026-08-29,Business,Desktop
S000246,U0440,Mumbai,London,2026-02-03,2026-06-09,Economy,Mobile
S000247,U0040,Mumbai,Paris,2026-04-05,2026-07-01,First,Mobile
S000248,U0363,Delhi,Singapore,2026-03-28,2026-05-11,Economy,Mobile
S000249,U0280,Mumbai,New York,2026-07-18,2026-11-01,Economy,Mobile
S000250,U0226,Mumbai,New York,2026-04-12,2026-09-29,First,Desktop
S000251,U0456,Delhi,Bangkok,2026-07-11,2027-01-05,Business,Mobile
S000252,U0108,Mumbai,London,2026-06-10,2026-08-12,Economy,Mobile
S000253,U0245,Bengaluru,London,2026-05-20,2026-07-31,Business,Tablet
S000254,U0255,Hyderabad,Dubai,2026-08-25,2026-09-30,Business,Desktop
S000255,U0033,Delhi,Paris,2026-03-17,2026-04-02,Economy,Desktop
S000256,U0023,Mumbai,Singapore,2026-01-19,2026-03-27,Economy,Desktop
S000257,U0333,Mumbai,New York,2026-05-17,2026-06-28,Economy,Desktop
S000258,U0054,Delhi,Paris,2026-03-15,2026-05-14,Business,Mobile
S000259,U0309,Mumbai,New York,2026-05-25,2026-09-05,Economy,Mobile
S000260,U0049,Delhi,London,2026-02-19,2026-03-01,Business,Mobile
S000261,U0462,Delhi,Dubai,2026-08-20,2026-10-19,Economy,Mobile
S000262,U0078,Mumbai,Paris,2026-02-08,2026-06-05,Economy,Desktop
S000263,U0336,Mumbai,Dubai,2026-06-18,2026-09-23,Business,Mobile
S000264,U0433,Delhi,Paris,2026-05-18,2026-08-21,Business,Mobile
S000265,U0358,Mumbai,London,2026-01-12,2026-03-23,Economy,Mobile
S000266,U0122,Mumbai,Singapore,2026-03-20,2026-07-23,Economy,Mobile
S000267,U0444,Delhi,London,2026-08-11,2026-11-17,Business,Desktop
S000268,U0359,Delhi,Dubai,2026-01-15,2026-06-20,Economy,Desktop
S000269,U0090,Bengaluru,Dubai,2026-01-28,2026-07-06,Economy,Desktop
S000270,U0346,Delhi,Tokyo,2026-05-12,2026-08-07,Business,Mobile
S000271,U0193,Bengaluru,London,2026-02-05,2026-04-11,Business,Desktop
S000272,U0416,Delhi,Singapore,2026-04-29,2026-06-18,Economy,Desktop
S000273,U0377,Bengaluru,London,2026-03-06,2026-05-27,Business,Desktop
S000274,U0463,Mumbai,New York,2026-08-24,2027-01-21,Business,Tablet
S000275,U0244,Delhi,New York,2026-04-08,2026-07-24,Economy,Tablet
S000276,U0149,Delhi,London,2026-02-16,2026-06-27,Business,Tablet
S000277,U0146,Mumbai,New York,2026-03-22,2026-04-13,Economy,Desktop
S000278,U0478,Delhi,Paris,2026-02-08,2026-04-10,Economy,Tablet
S000279,U0316,Hyderabad,Dubai,2026-02-07,2026-05-19,Economy,Mobile
S000280,U0378,Delhi,London,2026-02-13,2026-05-09,Economy,Desktop
S000281,U0141,Delhi,Paris,2026-06-28,2026-09-19,Business,Desktop
S000282,U0408,Delhi,New York,2026-04-07,2026-05-23,Economy,Desktop
S000283,U0286,Delhi,Singapore,2026-05-04,2026-05-31,Business,Desktop
S000284,U0386,Delhi,Dubai,2026-08-01,2026-10-12,Economy,Mobile
S000285,U0339,Delhi,Singapore,2026-01-26,2026-06-17,Economy,Mobile
S000286,U0111,Mumbai,London,2026-08-26,2026-09-11,Economy,Mobile
S000287,U0108,Mumbai,Dubai,2026-06-13,2026-10-29,Business,Desktop
S000288,U0367,Delhi,Paris,2026-07-16,2026-09-03,Business,Mobile
S000289,U0281,Bengaluru,London,2026-04-07,2026-07-27,Business,Mobile
S000290,U0050,Delhi,New York,2026-01-01,2026-03-11,Economy,Desktop
S000291,U0014,Bengaluru,Dubai,2026-02-22,2026-08-18,Business,Desktop
S000292,U0134,Mumbai,London,2026-01-06,2026-04-04,Economy,Tablet
S000293,U0076,Mumbai,Dubai,2026-02-06,2026-04-04,Business,Desktop
S000294,U0084,Bengaluru,London,2026-01-02,2026-03-05,First,Desktop
S000295,U0343,Delhi,Dubai,2026-05-03,2026-10-27,Economy,Desktop
S000296,U0158,Mumbai,London,2026-03-10,2026-08-15,Economy,Desktop
S000297,U0286,Mumbai,Dubai,2026-08-06,2026-09-15,Business,Mobile
S000298,U0422,Delhi,London,2026-06-18,2026-08-22,Business,Mobile
S000299,U0314,Delhi,Bangkok,2026-06-28,2026-11-11,Economy,Desktop
S000300,U0094,Mumbai,Dubai,2026-06-24,2026-11-07,First,Desktop
S000301,U0297,Mumbai,Singapore,2026-01-13,2026-06-06,Business,Desktop
S000302,U0094,Delhi,London,2026-07-23,2026-12-27,Economy,Mobile
S000303,U0057,Bengaluru,London,2026-03-10,2026-08-06,Economy,Mobile
S000304,U0164,Mumbai,London,2026-03-07,2026-07-09,Business,Desktop
S000305,U0320,Delhi,Paris,2026-02-28,2026-07-12,Economy,Mobile
S000306,U0497,Delhi,Singapore,2026-03-09,2026-04-01,Economy,Mobile
S000307,U0098,Delhi,Dubai,2026-02-28,2026-05-27,Business,Mobile
S000308,U0016,Mumbai,Singapore,2026-08-07,2026-08-27,Business,Mobile
S000309,U0344,Delhi,Dubai,2026-04-27,2026-07-23,Business,Desktop
S000310,U0078,Delhi,Singapore,2026-01-10,2026-05-19,Economy,Tablet
S000311,U0346,Mumbai,London,2026-05-21,2026-06-12,Business,Desktop
S000312,U0072,Bengaluru,Dubai,2026-08-24,2026-10-01,First,Desktop
S000313,U0270,Delhi,London,2026-05-10,2026-06-08,Economy,Desktop
S000314,U0287,Bengaluru,London,2026-08-06,2026-11-22,Business,Desktop
S000315,U0066,Delhi,Dubai,2026-01-15,2026-07-02,First,Mobile
S000316,U0368,Mumbai,London,2026-02-15,2026-05-30,Business,Mobile
S000317,U0068,Delhi,Singapore,2026-07-04,2026-12-01,Business,Desktop
S000318,U0193,Delhi,Tokyo,2026-05-18,2026-11-02,Economy,Mobile
S000319,U0055,Mumbai,Dubai,2026-05-30,2026-09-17,Business,Desktop
S000320,U0468,Delhi,London,2026-08-20,2026-12-30,Business,Mobile
S000321,U0379,Mumbai,London,2026-03-30,2026-09-13,Business,Desktop
S000322,U0462,Delhi,Dubai,2026-07-26,2026-10-08,First,Tablet
S000323,U0168,Delhi,Dubai,2026-03-18,2026-09-11,Economy,Mobile
S000324,U0409,Delhi,New York,2026-05-16,2026-07-25,Economy,Mobile
S000325,U0025,Delhi,London,2026-05-29,2026-08-14,Economy,Desktop
S000326,U0131,Delhi,London,2026-08-01,2026-08-25,Business,Mobile
S000327,U0325,Delhi,Paris,2026-05-30,2026-09-26,Economy,Mobile
S000328,U0102,Mumbai,London,2026-04-20,2026-08-29,Business,Desktop
S000329,U0374,Delhi,Dubai,2026-04-07,2026-08-18,Economy,Tablet
S000330,U0282,Mumbai,Dubai,2026-02-14,2026-04-22,Economy,Desktop
S000331,U0296,Mumbai,New York,2026-04-01,2026-06-21,Economy,Mobile
S000332,U0294,Mumbai,Dubai,2026-06-17,2026-10-08,Business,Mobile
S000333,U0422,Mumbai,Singapore,2026-04-24,2026-09-25,Business,Mobile
S000334,U0452,Delhi,Dubai,2026-05-30,2026-10-22,First,Mobile
S000335,U0263,Delhi,New York,2026-06-07,2026-12-04,Business,Mobile
S000336,U0478,Mumbai,London,2026-07-09,2026-10-04,Economy,Mobile
S000337,U0414,Mumbai,New York,2026-03-14,2026-07-04,Economy,Desktop
S000338,U0120,Mumbai,Paris,2026-06-22,2026-07-26,First,Desktop
S000339,U0403,Mumbai,New York,2026-02-04,2026-07-23,Business,Desktop
S000340,U0231,Mumbai,Dubai,2026-07-29,2026-08-12,Economy,Tablet
S000341,U0291,Mumbai,Dubai,2026-02-11,2026-05-19,Business,Mobile
S000342,U0488,Mumbai,London,2026-05-13,2026-10-16,Economy,Mobile
S000343,U0161,Delhi,Dubai,2026-01-27,2026-06-03,Economy,Desktop
S000344,U0161,Delhi,Dubai,2026-07-17,2026-12-22,Economy,Tablet
S000345,U0078,Mumbai,Paris,2026-07-09,2026-09-19,Business,Desktop
S000346,U0038,Mumbai,London,2026-02-01,2026-05-13,Economy,Mobile
S000347,U0394,Delhi,Singapore,2026-05-16,2026-07-25,Economy,Desktop
S000348,U0441,Delhi,New York,2026-04-13,2026-06-23,Economy,Mobile
